,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 1, 1, 0, 1, 0)",215039,257510,264930,272197,279299,286228,292979,299546,305925,312113,318107,323906,329510,334917
"Z(1, 1, 1, 0, 1, 1)",215039,257510,271522,285360,298999,312414,325583,338491,351123,363469,375518,387265,398704,409831
"Z(1, 1, 1, 0, 1, 2)",215039,257510,262018,266476,270878,275217,279490,283692,287818,291866,295832,299713,303505,307206
"Z(1, 1, 1, 0, 2, 0)",215039,257510,263762,269934,276020,282013,287908,293701,299391,304973,310446,315809,321060,326200
"Z(1, 1, 1, 0, 2, 1)",215039,257510,272987,288244,303245,317972,332405,346532,360342,373829,386987,399815,412312,424478
"Z(1, 1, 1, 0, 2, 2)",215039,257510,273326,289107,304795,320358,335761,350976,365983,380761,395296,409575,423588,437326
"Z(1, 1, 1, 0, 3, 0)",215039,257510,268725,280000,291324,302685,314072,325478,336895,348315,359734,371144,382543,393924
"Z(1, 1, 1, 0, 3, 1)",215039,257510,285306,313287,341361,369472,397566,425597,453530,481333,508984,536462,563751,590835
"Z(1, 1, 1, 0, 3, 2)",215039,257510,279236,301403,323945,346813,369961,393350,416945,440716,464638,488688,512846,537092
"Z(1, 1, 1, 1, 0, 0)",215039,257510,260455,263189,265712,268027,270136,272043,273752,275269,276598,277745,278716,279516
"Z(1, 1, 1, 1, 0, 1)",215039,257510,270864,283698,295958,307628,318691,329140,338972,348191,356804,364823,372260,379127
"Z(1, 1, 1, 1, 0, 2)",215039,257510,254526,251592,248705,245861,243060,240298,237574,234886,232232,229611,227022,224462
"Z(1, 1, 1, 1, 1, 0)",215039,257510,266212,274797,283251,291564,299725,307727,315563,323226,330712,338016,345135,352066
"Z(1, 1, 1, 1, 1, 1)",215039,257510,271517,285353,298993,312413,325592,338513,351163,363530,375605,387382,398855,410021
"Z(1, 1, 1, 1, 1, 2)",215039,257510,263363,269248,275150,281058,286960,292845,298703,304526,310303,316026,321688,327282
"Z(1, 1, 1, 1, 2, 0)",215039,257510,265027,272492,279896,287233,294494,301675,308770,315776,322688,329505,336222,342838
"Z(1, 1, 1, 1, 2, 1)",215039,257510,272981,288235,303238,317969,332410,346549,360376,373883,387067,399924,412455,424659
"Z(1, 1, 1, 1, 2, 2)",215039,257510,274791,292380,310187,328148,346201,364292,382376,400413,418367,436207,453905,471438
"Z(1, 1, 1, 1, 3, 0)",215039,257510,270235,283100,296092,309196,322401,335697,349072,362520,376031,389598,403215,416874
"Z(1, 1, 1, 1, 3, 1)",215039,257510,285298,313276,341352,369471,397580,425633,453594,481435,509131,536663,564015,591171
"Z(1, 1, 1, 1, 3, 2)",215039,257510,280974,305323,330462,356315,382812,409889,437492,465571,494082,522985,552246,581829
