,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(1, 2, 1, 1, 0, 1)",126324,151273,149528,147550,145411,143159,140830,138452,136048,133636,131230,128841,126476,124146
"Z(1, 2, 1, 1, 0, 2)",126324,151273,151402,151347,151133,150782,150309,149731,149059,148305,147479,146588,145639,144641
"Z(1, 2, 1, 1, 1, 0)",126324,151273,150705,149987,149143,148193,147153,146038,144859,143626,142347,141031,139683,138308
"Z(1, 2, 1, 1, 1, 1)",126324,151273,153606,155704,157589,159280,160792,162141,163340,164401,165334,166148,166853,167455
"Z(1, 2, 1, 1, 1, 2)",126324,151273,154777,158127,161326,164376,167281,170043,172665,175150,177501,179721,181814,183783
"Z(1, 2, 1, 1, 2, 0)",126324,151273,150307,149239,148091,146878,145614,144310,142975,141616,140240,138852,137456,136055
"Z(1, 2, 1, 1, 2, 1)",126324,151273,151936,152265,152338,152205,151906,151474,150937,150315,149626,148883,148099,147286
"Z(1, 2, 1, 1, 2, 2)",126324,151273,152535,153553,154378,155043,155575,155995,156322,156567,156742,156854,156912,156920
"Z(1, 2, 1, 1, 3, 0)",126324,151273,151702,151989,152158,152227,152211,152123,151973,151771,151524,151238,150919,150572
"Z(1, 2, 1, 1, 3, 1)",126324,151273,152508,153361,153912,154213,154312,154243,154038,153720,153309,152821,152271,151672
"Z(1, 2, 1, 1, 3, 2)",126324,151273,152147,152713,153027,153130,153056,152831,152478,152012,151449,150802,150080,149294
"Z(2, 0, 0, 1, 0, 0)",126324,151273,146396,141737,137280,133013,128921,124995,121224,117598,114110,110752,107517,104398
"Z(2, 0, 0, 1, 0, 1)",126324,151273,144338,137894,131883,126259,120983,116021,111344,106927,102747,98786,95027,91454
"Z(2, 0, 0, 1, 0, 2)",126324,151273,147917,144702,141618,138656,135808,133065,130422,127872,125409,123029,120727,118497
"Z(2, 0, 0, 1, 1, 0)",126324,151273,146493,141925,137554,133367,129353,125501,121801,118244,114823,111529,108357,105299
"Z(2, 0, 0, 1, 1, 1)",126324,151273,146361,141677,137203,132923,128825,124896,121124,117501,114018,110666,107438,104327
"Z(2, 0, 0, 1, 1, 2)",126324,151273,150252,149226,148197,147165,146131,145095,144059,143022,141986,140950,139915,138883
"Z(2, 0, 0, 1, 2, 0)",126324,151273,146593,142114,137823,133709,129759,125963,122314,118802,115420,112160,109018,105986
"Z(2, 0, 0, 1, 2, 1)",126324,151273,143920,137067,130659,124653,119009,113694,108681,103944,99462,95215,91186,87360
"Z(2, 0, 0, 1, 2, 2)",126324,151273,144940,138964,133314,127963,122885,118061,113471,109099,104930,100951,97150,93516
