,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(0, 2, 0, 1, 1, 2)",221677,265458,259623,254017,248628,243440,238444,233626,228978,224490,220154,215961,211905,207979
"Z(0, 2, 0, 1, 2, 0)",221677,265458,257595,250087,242908,236036,229449,223129,217060,211227,205615,200213,195009,189993
"Z(0, 2, 0, 1, 2, 1)",221677,265458,254597,244396,234788,225720,217142,209014,201299,193966,186986,180336,173992,167934
"Z(0, 2, 0, 1, 2, 2)",221677,265458,252676,240815,229771,219459,209808,200754,192243,184229,176672,169534,162785,156395
"Z(0, 2, 0, 1, 3, 0)",221677,265458,256376,247768,239596,231831,224442,217406,210698,204298,198187,192348,186764,181422
"Z(0, 2, 0, 1, 3, 1)",221677,265458,251418,238411,226318,215045,204511,194646,185389,176688,168496,160774,153486,146598
"Z(0, 2, 0, 1, 3, 2)",221677,265458,252686,240889,229958,219806,210355,201539,193303,185595,178372,171596,165231,159247
"Z(0, 2, 1, 0, 0, 0)",221677,265458,257322,249568,242166,235091,228318,221827,215599,209618,203869,198337,193011,187879
"Z(0, 2, 1, 0, 0, 1)",221677,265458,253328,242066,231569,221756,212558,203915,195775,188094,180833,173957,167437,161245
"Z(0, 2, 1, 0, 0, 2)",221677,265458,258980,252791,246868,241191,235742,230505,225465,220609,215927,211407,207039,202815
"Z(0, 2, 1, 0, 1, 0)",221677,265458,257425,249771,242468,235490,228815,222423,216294,210414,204766,199338,194116,189089
"Z(0, 2, 1, 0, 1, 1)",221677,265458,258236,251311,244662,238272,232124,226201,220492,214984,209666,204527,199558,194752
"Z(0, 2, 1, 0, 1, 2)",221677,265458,259712,254192,248883,243774,238852,234106,229526,225104,220830,216698,212700,208829
"Z(0, 2, 1, 0, 2, 0)",221677,265458,257671,250234,243122,236313,229786,223522,217507,211723,206159,200802,195640,190663
"Z(0, 2, 1, 0, 2, 1)",221677,265458,254627,244452,234870,225824,217268,209159,201463,194147,187183,180547,174216,168170
"Z(0, 2, 1, 0, 2, 2)",221677,265458,252721,240903,229897,219621,210002,200977,192494,184506,176971,169855,163126,156754
"Z(0, 2, 1, 0, 3, 0)",221677,265458,256447,247905,239795,232088,224754,217769,211110,204755,198687,192888,187343,182036
"Z(0, 2, 1, 0, 3, 1)",221677,265458,251439,238450,226374,215116,204596,194743,185497,176806,168624,160910,153629,146748
"Z(0, 2, 1, 0, 3, 2)",221677,265458,252732,240978,230087,219971,210554,201771,193564,185884,178688,171936,165596,159635
"Z(0, 2, 1, 1, 0, 0)",221677,265458,257939,250765,243910,237347,231057,225021,219220,213640,208267,203089,198095,193273
"Z(0, 2, 1, 1, 0, 1)",221677,265458,253337,242083,231594,221790,212601,203966,195835,188163,180910,174043,167532,161349
"Z(0, 2, 1, 1, 0, 2)",221677,265458,259647,254094,248777,243679,238782,234072,229537,225164,220943,216864,212920,209101
"Z(0, 2, 1, 1, 1, 0)",221677,265458,258014,250916,244138,237656,231451,225503,219796,214313,209042,203971,199087,194380
"Z(0, 2, 1, 1, 1, 1)",221677,265458,258248,251335,244700,238322,232186,226276,220580,215085,209779,204653,199698,194904
"Z(0, 2, 1, 1, 1, 2)",221677,265458,260398,255535,250858,246356,242016,237831,233791,229889,226116,222466,218933,215512
"Z(0, 2, 1, 1, 2, 0)",221677,265458,258278,251415,244846,238550,232508,226704,221124,215752,210578,205590,200778,196133
"Z(0, 2, 1, 1, 2, 1)",221677,265458,254636,244472,234899,225863,217316,209217,201531,194225,187271,180645,174324,168288
"Z(0, 2, 1, 1, 2, 2)",221677,265458,253061,241553,230831,220815,211434,202628,194346,186541,179176,172216,165630,159391
"Z(0, 2, 1, 1, 3, 0)",221677,265458,257018,249012,241407,234174,227286,220721,214458,208477,202762,197296,192066,187058
"Z(0, 2, 1, 1, 3, 1)",221677,265458,251446,238465,226397,215146,204633,194788,185550,176866,168691,160985,153711,146837
"Z(0, 2, 1, 1, 3, 2)",221677,265458,253074,241636,231037,221192,212026,203478,195491,188017,181016,174449,168284,162491
"Z(1, 0, 0, 1, 0, 0)",221677,265458,264469,263198,261684,259959,258049,255982,253780,251462,249048,246553,243993,241379
"Z(1, 0, 0, 1, 0, 1)",221677,265458,266502,266743,266313,265316,263839,261956,259729,257213,254452,251486,248349,245071
"Z(1, 0, 0, 1, 0, 2)",221677,265458,264696,263709,262521,261156,259632,257967,256177,254276,252276,250188,248024,245790
"Z(1, 0, 0, 1, 1, 0)",221677,265458,268825,271797,274404,276671,278623,280281,281665,282793,283682,284348,284806,285067
"Z(1, 0, 0, 1, 1, 1)",221677,265458,261667,257956,254317,250748,247243,243800,240415,237083,233801,230566,227375,224223
"Z(1, 0, 0, 1, 1, 2)",221677,265458,268953,272157,275086,277754,280176,282363,284327,286079,287631,288990,290167,291170
"Z(1, 0, 0, 1, 2, 0)",221677,265458,267747,269744,271474,272957,274213,275259,276111,276783,277287,277635,277837,277902
"Z(1, 0, 0, 1, 2, 1)",221677,265458,264635,263434,261918,260136,258131,255936,253583,251097,248499,245807,243039,240208
"Z(1, 0, 0, 1, 2, 2)",221677,265458,274297,282253,289420,295875,301686,306912,311604,315807,319561,322901,325859,328465
"Z(1, 0, 0, 1, 3, 0)",221677,265458,271353,276899,282120,287039,291674,296044,300165,304051,307714,311168,314422,317487
"Z(1, 0, 0, 1, 3, 1)",221677,265458,270551,274853,278472,281492,283985,286013,287626,288868,289778,290387,290725,290817
"Z(1, 0, 0, 1, 3, 2)",221677,265458,278354,290522,302034,312951,323324,333197,342608,351589,360171,368378,376233,383757
"Z(1, 0, 1, 0, 0, 0)",221677,265458,264566,263392,261973,260341,258525,256550,254440,252214,249892,247489,245021,242500
"Z(1, 0, 1, 0, 0, 1)",221677,265458,266544,266827,266441,265488,264056,262217,260036,257564,254848,251927,248833,245598
"Z(1, 0, 1, 0, 0, 2)",221677,265458,264796,263908,262819,261552,260124,258555,256858,255049,253140,251142,249064,246917
"Z(1, 0, 1, 0, 1, 0)",221677,265458,268931,272010,274725,277101,279161,280928,282422,283659,284657,285431,285996,286364
"Z(1, 0, 1, 0, 1, 1)",221677,265458,261707,258035,254434,250901,247433,244026,240675,237378,234129,230927,227767,224648
"Z(1, 0, 1, 0, 1, 2)",221677,265458,269058,272369,275405,278183,280714,283012,285087,286951,288614,290085,291373,292487
"Z(1, 0, 1, 0, 2, 0)",221677,265458,267852,269954,271788,273377,274739,275891,276849,277625,278234,278685,278990,279157
"Z(1, 0, 1, 0, 2, 1)",221677,265458,264676,263515,262039,260296,258329,256172,253855,251405,248841,246184,243449,240650
"Z(1, 0, 1, 0, 2, 2)",221677,265458,274406,282474,289755,296327,302257,307603,312416,316741,320618,324081,327162,329891
"Z(1, 0, 1, 0, 3, 0)",221677,265458,271479,277154,282508,287562,292335,296846,301108,305137,308946,312546,315948,319162
"Z(1, 0, 1, 0, 3, 1)",221677,265458,270605,274960,278633,281708,284256,286338,288006,289302,290266,290930,291321,291466
"Z(1, 0, 1, 0, 3, 2)",221677,265458,278486,290792,302450,313519,324049,334084,343663,352817,361575,369964,378004,385716
"Z(1, 0, 1, 1, 0, 0)",221677,265458,265309,264862,264150,263201,262042,260693,259175,257507,255703,253780,251749,249623
"Z(1, 0, 1, 1, 0, 1)",221677,265458,266552,266846,266472,265532,264114,262291,260124,257668,254967,252060,248981,245759
"Z(1, 0, 1, 1, 0, 2)",221677,265458,265565,265435,265094,264562,263857,262997,261995,260866,259621,258272,256827,255297
"Z(1, 0, 1, 1, 1, 0)",221677,265458,269728,273615,277145,280342,283227,285820,288137,290195,292008,293591,294956,296114
"Z(1, 0, 1, 1, 1, 1)",221677,265458,261720,258062,254477,250962,247512,244124,240794,237518,234292,231113,227978,224884
"Z(1, 0, 1, 1, 1, 2)",221677,265458,269905,274077,277987,281648,285071,288268,291247,294019,296591,298973,301171,303194
"Z(1, 0, 1, 1, 2, 0)",221677,265458,268638,271532,274164,276552,278716,280670,282428,284004,285409,286652,287744,288694
"Z(1, 0, 1, 1, 2, 1)",221677,265458,264688,263540,262079,260353,258403,256265,253969,251540,249000,246367,243657,240884
"Z(1, 0, 1, 1, 2, 2)",221677,265458,275274,284239,292442,299957,306848,313169,318969,324290,329170,333642,337734,341475
"Z(1, 0, 1, 1, 3, 0)",221677,265458,272451,279125,285503,291604,297445,303042,308408,313556,318498,323243,327801,332181
"Z(1, 0, 1, 1, 3, 1)",221677,265458,270620,274993,278687,281786,284361,286472,288172,289503,290504,291207,291640,291830
"Z(1, 0, 1, 1, 3, 2)",221677,265458,279558,293001,305853,318171,330003,341388,352362,362954,373192,383097,392690,401989
"Z(1, 1, 0, 1, 0, 0)",221677,265458,273095,280227,286843,292946,298541,303641,308259,312411,316115,319390,322255,324727
"Z(1, 1, 0, 1, 0, 1)",221677,265458,286967,307697,327524,346396,364279,381158,397034,411914,425812,438754,450763,461861
"Z(1, 1, 0, 1, 0, 2)",221677,265458,271433,276970,282069,286738,290987,294828,298276,301348,304060,306431,308476,310214
"Z(1, 1, 0, 1, 1, 0)",221677,265458,278873,292004,304813,317273,329364,341071,352384,363298,373807,383912,393613,402911
"Z(1, 1, 0, 1, 1, 1)",221677,265458,280286,295060,309747,324308,338711,352928,366936,380713,394243,407511,420505,433215
"Z(1, 1, 0, 1, 1, 2)",221677,265458,275505,285352,294979,304371,313516,322406,331033,339394,347485,355307,362857,370137
"Z(1, 1, 0, 1, 2, 0)",221677,265458,277432,289179,300670,311886,322811,333438,343760,353775,363482,372882,381978,390773
"Z(1, 1, 0, 1, 2, 1)",221677,265458,288281,310812,332949,354633,375818,396475,416580,436123,455094,473494,491323,508583
"Z(1, 1, 0, 1, 2, 2)",221677,265458,287955,309577,330302,350149,369138,387294,404645,421219,437043,452146,466557,480295
"Z(1, 1, 0, 1, 3, 0)",221677,265458,283161,300856,318500,336061,353513,370835,388013,405033,421885,438563,455060,471370
"Z(1, 1, 0, 1, 3, 1)",221677,265458,301972,338728,375549,412323,448961,485396,521576,557462,593020,628230,663075,697533
"Z(1, 1, 0, 1, 3, 2)",221677,265458,293141,320454,347352,373824,399863,425469,450648,475406,499750,523694,547246,570413
"Z(1, 1, 1, 0, 0, 0)",221677,265458,273204,280448,287180,293400,299115,304336,309076,313351,317179,320577,323566,326161
"Z(1, 1, 1, 0, 0, 1)",221677,265458,287054,307881,327814,346798,364800,381805,397811,412827,426866,439951,452108,463356
"Z(1, 1, 1, 0, 0, 2)",221677,265458,271745,277613,283057,288083,292698,296911,300735,304183,307270,310010,312419,314512
"Z(1, 1, 1, 0, 1, 0)",221677,265458,278994,292255,305202,317807,330050,341917,353395,364480,375166,385452,395338,404826
"Z(1, 1, 1, 0, 1, 1)",221677,265458,280376,295248,310041,324716,339241,353587,367731,381653,395334,408760,421917,434798
"Z(1, 1, 1, 0, 1, 2)",221677,265458,275836,286053,296087,305918,315532,324916,334062,342962,351610,360003,368138,376012
"Z(1, 1, 1, 0, 2, 0)",221677,265458,277551,289426,301051,312407,323480,334260,344742,354922,364800,374376,383653,392632
"Z(1, 1, 1, 0, 2, 1)",221677,265458,288376,311014,333271,355085,376411,397218,417485,437198,456348,474936,492962,510425
"Z(1, 1, 1, 0, 2, 2)",221677,265458,288336,310373,331546,351873,371373,390069,407986,425149,441582,457312,472365,486758
"Z(1, 1, 1, 0, 3, 0)",221677,265458,283306,301161,318978,336726,354378,371915,389319,406578,423682,440623,457396,473993
"Z(1, 1, 1, 0, 3, 1)",221677,265458,302101,339011,376008,412982,449843,486524,522972,559149,595020,630565,665765,700601
"Z(1, 1, 1, 0, 3, 2)",221677,265458,293571,321369,348805,375864,402539,428828,454732,480256,505405,530187,554609,578676
"Z(1, 1, 1, 1, 0, 0)",221677,265458,274010,282086,289673,296767,303370,309491,315139,320328,325071,329384,333283,336784
"Z(1, 1, 1, 1, 0, 1)",221677,265458,287068,307913,327867,346878,364912,381952,397997,413056,427141,440276,452485,463788
"Z(1, 1, 1, 1, 0, 2)",221677,265458,272562,279330,285749,291812,297519,302872,307878,312544,316879,320894,324598,328003
"Z(1, 1, 1, 1, 1, 0)",221677,265458,279871,294073,308021,321686,335043,348074,360765,373107,385092,396715,407974,418867
"Z(1, 1, 1, 1, 1, 1)",221677,265458,280396,295292,310114,324823,339385,353775,367967,381940,395679,409168,422393,435345
"Z(1, 1, 1, 1, 1, 2)",221677,265458,276736,287965,299116,310164,321090,331875,342507,352974,363265,373373,383291,393014
"Z(1, 1, 1, 1, 2, 0)",221677,265458,278417,291213,303815,316200,328352,340259,351912,363307,374440,385310,395916,406260
"Z(1, 1, 1, 1, 2, 1)",221677,265458,288392,311052,333335,355182,376548,397399,417716,437486,456698,475354,493453,510996
"Z(1, 1, 1, 1, 2, 2)",221677,265458,289305,312485,334957,356725,377796,398182,417898,436963,455393,473209,490432,507072
"Z(1, 1, 1, 1, 3, 0)",221677,265458,284381,303419,322526,341668,360817,379953,399055,418111,437108,456037,474889,493657
"Z(1, 1, 1, 1, 3, 1)",221677,265458,302123,339065,376105,413132,450058,486815,523350,559626,595608,631277,666614,701599
"Z(1, 1, 1, 1, 3, 2)",221677,265458,294748,323961,353036,381946,410672,439203,467534,495662,523587,551312,578840,606171
"Z(1, 2, 0, 1, 0, 0)",221677,265458,259428,253381,247359,241389,235494,229689,223986,218395,212922,207570,202342,197241
"Z(1, 2, 0, 1, 0, 1)",221677,265458,261038,256329,251443,246450,241403,236345,231307,226316,221390,216543,211786,207131
"Z(1, 2, 0, 1, 0, 2)",221677,265458,258769,252203,245781,239516,233416,227487,221728,216141,210723,205470,200378,195444
"Z(1, 2, 0, 1, 1, 0)",221677,265458,263260,260824,258197,255418,252517,249520,246449,243321,240151,236952,233733,230505
"Z(1, 2, 0, 1, 1, 1)",221677,265458,267334,268876,270119,271092,271824,272338,272656,272797,272777,272611,272312,271891
"Z(1, 2, 0, 1, 1, 2)",221677,265458,262939,260329,257649,254920,252155,249368,246568,243764,240963,238170,235389,232626
"Z(1, 2, 0, 1, 2, 0)",221677,265458,262605,259593,256465,253252,249981,246671,243339,239999,236661,233335,230027,226743
"Z(1, 2, 0, 1, 2, 1)",221677,265458,266236,266536,266453,266056,265400,264531,263488,262301,260997,259595,258114,256571
"Z(1, 2, 0, 1, 2, 2)",221677,265458,260247,254942,249621,244322,239077,233909,228835,223867,219015,214282,209673,205194
"Z(1, 2, 0, 1, 3, 0)",221677,265458,264671,263663,262478,261151,259709,258175,256569,254905,253198,251456,249691,247909
"Z(1, 2, 0, 1, 3, 1)",221677,265458,265107,264193,262851,261171,259223,257066,254747,252304,249770,247168,244520,241849
"Z(1, 2, 0, 1, 3, 2)",221677,265458,260969,256396,251813,247259,242766,238357,234048,229851,225776,221827,218008,214325
