,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"Z(2, 2, 0, 1, 0, 0)",122542,146744,143307,139979,136754,133626,130591,127645,124784,122003,119300,116671,114113,111624
"Z(2, 2, 0, 1, 0, 1)",122542,146744,142297,138075,134057,130230,126578,123088,119748,116548,113477,110528,107691,104960
"Z(2, 2, 0, 1, 0, 2)",122542,146744,146526,146288,146029,145752,145456,145143,144813,144468,144108,143734,143347,142947
"Z(2, 2, 0, 1, 1, 0)",122542,146744,143307,139981,136761,133641,130616,127681,124834,122069,119384,116774,114237,111769
"Z(2, 2, 0, 1, 1, 1)",122542,146744,144039,141417,138873,136404,134007,131677,129412,127210,125066,122979,120947,118967
"Z(2, 2, 0, 1, 1, 2)",122542,146744,145880,145005,144120,143224,142318,141404,140482,139552,138615,137672,136723,135769
"Z(2, 2, 0, 1, 2, 0)",122542,146744,143386,140133,136979,133919,130949,128065,125263,122540,119891,117315,114808,112368
"Z(2, 2, 0, 1, 2, 1)",122542,146744,141943,137369,133005,128836,124851,121035,117378,113871,110503,107267,104155,101160
"Z(2, 2, 0, 1, 2, 2)",122542,146744,143047,139472,136010,132657,129408,126256,123199,120231,117349,114549,111828,109183
"Z(2, 2, 0, 1, 3, 0)",122542,146744,142904,139199,135624,132171,128835,125610,122492,119475,116554,113727,110988,108334
"Z(2, 2, 0, 1, 3, 1)",122542,146744,141248,136030,131070,126349,121851,117561,113465,109550,105804,102218,98781,95485
"Z(2, 2, 0, 1, 3, 2)",122542,146744,141666,136817,132181,127744,123495,119422,115513,111760,108153,104684,101347,98133
"Z(2, 2, 1, 0, 0, 0)",122542,146744,143873,141084,138372,135732,133162,130657,128215,125834,123510,121241,119024,116859
"Z(2, 2, 1, 0, 0, 1)",122542,146744,142641,138744,135035,131500,128125,124898,121807,118843,115996,113259,110624,108085
"Z(2, 2, 1, 0, 0, 2)",122542,146744,147375,147998,148611,149214,149805,150384,150949,151501,152038,152560,153066,153556
"Z(2, 2, 1, 0, 1, 0)",122542,146744,143865,141070,138353,135712,133142,130641,128205,125830,123515,121257,119054,116903
"Z(2, 2, 1, 0, 1, 1)",122542,146744,144701,142714,140781,138898,137063,135274,133528,131824,130159,128532,126942,125385
"Z(2, 2, 1, 0, 1, 2)",122542,146744,146611,146471,146325,146172,146012,145844,145667,145483,145290,145088,144878,144658
"Z(2, 2, 1, 0, 2, 0)",122542,146744,143952,141237,138595,136022,133515,131072,128689,126363,124093,121877,119711,117595
"Z(2, 2, 1, 0, 2, 1)",122542,146744,142318,138095,134060,130201,126504,122959,119556,116286,113140,110112,107194,104380
"Z(2, 2, 1, 0, 2, 2)",122542,146744,143424,140207,137088,134060,131120,128264,125487,122786,120158,117600,115108,112680
"Z(2, 2, 1, 0, 3, 0)",122542,146744,143450,140263,137177,134187,131289,128478,125751,123104,120533,118035,115608,113249
"Z(2, 2, 1, 0, 3, 1)",122542,146744,141575,136662,131984,127526,123272,119208,115321,111600,108034,104613,101330,98176
"Z(2, 2, 1, 0, 3, 2)",122542,146744,141950,137368,132984,128785,124760,120898,117188,113622,110191,106889,103708,100641
"Z(2, 2, 1, 1, 0, 0)",122542,146744,145032,143353,141706,140088,138498,136933,135393,133875,132379,130904,129449,128013
"Z(2, 2, 1, 1, 0, 1)",122542,146744,142803,139061,135498,132102,128860,125759,122788,119938,117201,114568,112033,109590
"Z(2, 2, 1, 1, 0, 2)",122542,146744,148799,150876,152971,155081,157202,159333,161470,163611,165754,167896,170036,172172
"Z(2, 2, 1, 1, 1, 0)",122542,146744,144991,143279,141604,139966,138362,136789,135247,133733,132246,130785,129348,127935
"Z(2, 2, 1, 1, 1, 1)",122542,146744,145012,143326,141683,140081,138517,136990,135497,134038,132610,131211,129842,128499
"Z(2, 2, 1, 1, 1, 2)",122542,146744,147941,149150,150370,151598,152834,154074,155319,156567,157816,159065,160313,161558
"Z(2, 2, 1, 1, 2, 0)",122542,146744,145096,143481,141899,140346,138821,137322,135849,134399,132972,131566,130182,128817
"Z(2, 2, 1, 1, 2, 1)",122542,146744,142497,138444,134568,130859,127305,123894,120618,117468,114436,111515,108698,105980
"Z(2, 2, 1, 1, 2, 2)",122542,146744,144230,141790,139417,137109,134863,132674,130540,128459,126427,124443,122505,120610
"Z(2, 2, 1, 1, 3, 0)",122542,146744,144565,142444,140380,138367,136406,134492,132624,130799,129017,127275,125572,123907
"Z(2, 2, 1, 1, 3, 1)",122542,146744,141735,136971,132433,128106,123975,120026,116247,112627,109155,105824,102624,99547
"Z(2, 2, 1, 1, 3, 2)",122542,146744,142557,138557,134728,131060,127543,124168,120924,117805,114804,111913,109127,106441
