,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 1, 1)",400,400,400,400,400,400,400,400,400,400,400,400,400,400
"U(1, 2, 1, 2)",3606,3606,3606,3606,3606,3606,3606,3606,3606,3606,3606,3606,3606,3606
"U(1, 2, 2, 0)",168,168,168,168,168,168,168,168,168,168,168,168,168,168
"U(1, 2, 2, 1)",375,375,375,375,375,375,375,375,375,375,375,375,375,375
"U(1, 2, 2, 2)",3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199,3199
"U(1, 2, 3, 0)",186,186,186,186,186,186,186,186,186,186,186,186,186,186
"U(1, 2, 3, 1)",351,351,351,351,351,351,351,351,351,351,351,351,351,351
"U(1, 2, 3, 2)",3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361,3361
"U(2, 0, 0, 0)",134,134,134,134,134,134,134,134,134,134,134,134,134,134
"U(2, 0, 0, 1)",119,119,119,119,119,119,119,119,119,119,119,119,119,119
"U(2, 0, 0, 2)",2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095,2095
"U(2, 0, 1, 0)",128,128,128,128,128,128,128,128,128,128,128,128,128,128
"U(2, 0, 1, 1)",131,131,131,131,131,131,131,131,131,131,131,131,131,131
"U(2, 0, 1, 2)",1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
"U(2, 0, 2, 0)",131,131,131,131,131,131,131,131,131,131,131,131,131,131
"U(2, 0, 2, 1)",116,116,116,116,116,116,116,116,116,116,116,116,116,116
"U(2, 0, 2, 2)",1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551
"U(2, 0, 3, 0)",125,125,125,125,125,125,125,125,125,125,125,125,125,125
"U(2, 0, 3, 1)",102,102,102,102,102,102,102,102,102,102,102,102,102,102
"U(2, 0, 3, 2)",1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512
"U(2, 1, 0, 0)",153,153,153,153,153,153,153,153,153,153,153,153,153,153
"U(2, 1, 0, 1)",334,334,334,334,334,334,334,334,334,334,334,334,334,334
"U(2, 1, 0, 2)",3296,3296,3296,3296,3296,3296,3296,3296,3296,3296,3296,3296,3296,3296
"U(2, 1, 1, 0)",183,183,183,183,183,183,183,183,183,183,183,183,183,183
"U(2, 1, 1, 1)",422,422,422,422,422,422,422,422,422,422,422,422,422,422
"U(2, 1, 1, 2)",3926,3926,3926,3926,3926,3926,3926,3926,3926,3926,3926,3926,3926,3926
"U(2, 1, 2, 0)",179,179,179,179,179,179,179,179,179,179,179,179,179,179
"U(2, 1, 2, 1)",397,397,397,397,397,397,397,397,397,397,397,397,397,397
"U(2, 1, 2, 2)",3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457,3457
"U(2, 1, 3, 0)",203,203,203,203,203,203,203,203,203,203,203,203,203,203
"U(2, 1, 3, 1)",377,377,377,377,377,377,377,377,377,377,377,377,377,377
"U(2, 1, 3, 2)",3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490
"U(2, 2, 0, 0)",114,114,114,114,114,114,114,114,114,114,114,114,114,114
"U(2, 2, 0, 1)",109,109,109,109,109,109,109,109,109,109,109,109,109,109
"U(2, 2, 0, 2)",1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519
