,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 0, 1)",1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
"U(1, 2, 0, 2)",4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162,4162
"U(1, 2, 1, 0)",355,355,355,355,355,355,355,355,355,355,355,355,355,355
"U(1, 2, 1, 1)",1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
"U(1, 2, 1, 2)",5416,5416,5416,5416,5416,5416,5416,5416,5416,5416,5416,5416,5416,5416
"U(1, 2, 2, 0)",347,347,347,347,347,347,347,347,347,347,347,347,347,347
"U(1, 2, 2, 1)",2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004
"U(1, 2, 2, 2)",5343,5343,5343,5343,5343,5343,5343,5343,5343,5343,5343,5343,5343,5343
"U(1, 2, 3, 0)",392,392,392,392,392,392,392,392,392,392,392,392,392,392
"U(1, 2, 3, 1)",1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999
"U(1, 2, 3, 2)",5427,5427,5427,5427,5427,5427,5427,5427,5427,5427,5427,5427,5427,5427
"U(2, 0, 0, 0)",285,285,285,285,285,285,285,285,285,285,285,285,285,285
"U(2, 0, 0, 1)",258,258,258,258,258,258,258,258,258,258,258,258,258,258
"U(2, 0, 0, 2)",2966,2966,2966,2966,2966,2966,2966,2966,2966,2966,2966,2966,2966,2966
"U(2, 0, 1, 0)",268,268,268,268,268,268,268,268,268,268,268,268,268,268
"U(2, 0, 1, 1)",267,267,267,267,267,267,267,267,267,267,267,267,267,267
"U(2, 0, 1, 2)",2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469,2469
"U(2, 0, 2, 0)",273,273,273,273,273,273,273,273,273,273,273,273,273,273
"U(2, 0, 2, 1)",252,252,252,252,252,252,252,252,252,252,252,252,252,252
"U(2, 0, 2, 2)",1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909,1909
"U(2, 0, 3, 0)",259,259,259,259,259,259,259,259,259,259,259,259,259,259
"U(2, 0, 3, 1)",220,220,220,220,220,220,220,220,220,220,220,220,220,220
"U(2, 0, 3, 2)",1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
"U(2, 1, 0, 0)",264,264,264,264,264,264,264,264,264,264,264,264,264,264
"U(2, 1, 0, 1)",1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
"U(2, 1, 0, 2)",2682,2682,2682,2682,2682,2682,2682,2682,2682,2682,2682,2682,2682,2682
"U(2, 1, 1, 0)",322,322,322,322,322,322,322,322,322,322,322,322,322,322
"U(2, 1, 1, 1)",1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
"U(2, 1, 1, 2)",3067,3067,3067,3067,3067,3067,3067,3067,3067,3067,3067,3067,3067,3067
"U(2, 1, 2, 0)",314,314,314,314,314,314,314,314,314,314,314,314,314,314
"U(2, 1, 2, 1)",1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710
"U(2, 1, 2, 2)",3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180,3180
"U(2, 1, 3, 0)",360,360,360,360,360,360,360,360,360,360,360,360,360,360
"U(2, 1, 3, 1)",1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708,1708
"U(2, 1, 3, 2)",3277,3277,3277,3277,3277,3277,3277,3277,3277,3277,3277,3277,3277,3277
"U(2, 2, 0, 0)",259,259,259,259,259,259,259,259,259,259,259,259,259,259
"U(2, 2, 0, 1)",251,251,251,251,251,251,251,251,251,251,251,251,251,251
"U(2, 2, 0, 2)",2689,2689,2689,2689,2689,2689,2689,2689,2689,2689,2689,2689,2689,2689
"U(2, 2, 1, 0)",250,250,250,250,250,250,250,250,250,250,250,250,250,250
"U(2, 2, 1, 1)",279,279,279,279,279,279,279,279,279,279,279,279,279,279
"U(2, 2, 1, 2)",2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175,2175
"U(2, 2, 2, 0)",253,253,253,253,253,253,253,253,253,253,253,253,253,253
"U(2, 2, 2, 1)",254,254,254,254,254,254,254,254,254,254,254,254,254,254
"U(2, 2, 2, 2)",1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703,1703
"U(2, 2, 3, 0)",244,244,244,244,244,244,244,244,244,244,244,244,244,244
"U(2, 2, 3, 1)",212,212,212,212,212,212,212,212,212,212,212,212,212,212
"U(2, 2, 3, 2)",1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666,1666
"Z(0, 1, 0, 1, 0, 0)",11010,11010,11010,11010,11010,11010,11010,11010,11010,11010,11010,11010,11010,11010
"Z(0, 1, 0, 1, 0, 1)",11683,11683,11683,11683,11683,11683,11683,11683,11683,11683,11683,11683,11683,11683
"Z(0, 1, 0, 1, 0, 2)",9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711,9711
"Z(0, 1, 0, 1, 1, 0)",13646,13646,13646,13646,13646,13646,13646,13646,13646,13646,13646,13646,13646,13646
"Z(0, 1, 0, 1, 1, 1)",11650,11650,11650,11650,11650,11650,11650,11650,11650,11650,11650,11650,11650,11650
"Z(0, 1, 0, 1, 1, 2)",12420,12420,12420,12420,12420,12420,12420,12420,12420,12420,12420,12420,12420,12420
"Z(0, 1, 0, 1, 2, 0)",13319,13319,13319,13319,13319,13319,13319,13319,13319,13319,13319,13319,13319,13319
"Z(0, 1, 0, 1, 2, 1)",11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550,11550
"Z(0, 1, 0, 1, 2, 2)",14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446,14446
"Z(0, 1, 0, 1, 3, 0)",15529,15529,15529,15529,15529,15529,15529,15529,15529,15529,15529,15529,15529,15529
"Z(0, 1, 0, 1, 3, 1)",14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232
"Z(0, 1, 0, 1, 3, 2)",17029,17029,17029,17029,17029,17029,17029,17029,17029,17029,17029,17029,17029,17029
"Z(0, 1, 1, 0, 0, 0)",12209,12209,12209,12209,12209,12209,12209,12209,12209,12209,12209,12209,12209,12209
"Z(0, 1, 1, 0, 0, 1)",11649,11649,11649,11649,11649,11649,11649,11649,11649,11649,11649,11649,11649,11649
"Z(0, 1, 1, 0, 0, 2)",10678,10678,10678,10678,10678,10678,10678,10678,10678,10678,10678,10678,10678,10678
"Z(0, 1, 1, 0, 1, 0)",15167,15167,15167,15167,15167,15167,15167,15167,15167,15167,15167,15167,15167,15167
"Z(0, 1, 1, 0, 1, 1)",11611,11611,11611,11611,11611,11611,11611,11611,11611,11611,11611,11611,11611,11611
"Z(0, 1, 1, 0, 1, 2)",13756,13756,13756,13756,13756,13756,13756,13756,13756,13756,13756,13756,13756,13756
"Z(0, 1, 1, 0, 2, 0)",14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801
"Z(0, 1, 1, 0, 2, 1)",11511,11511,11511,11511,11511,11511,11511,11511,11511,11511,11511,11511,11511,11511
"Z(0, 1, 1, 0, 2, 2)",15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899,15899
"Z(0, 1, 1, 0, 3, 0)",17535,17535,17535,17535,17535,17535,17535,17535,17535,17535,17535,17535,17535,17535
