,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 1, 2)",2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032
"U(1, 2, 2, 0)",62,62,62,62,62,62,62,62,62,62,62,62,62,62
"U(1, 2, 2, 1)",245,245,245,245,245,245,245,245,245,245,245,245,245,245
"U(1, 2, 2, 2)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"U(1, 2, 3, 0)",69,69,69,69,69,69,69,69,69,69,69,69,69,69
"U(1, 2, 3, 1)",250,250,250,250,250,250,250,250,250,250,250,250,250,250
"U(1, 2, 3, 2)",1911,1911,1911,1911,1911,1911,1911,1911,1911,1911,1911,1911,1911,1911
"U(2, 0, 0, 0)",49,49,49,49,49,49,49,49,49,49,49,49,49,49
"U(2, 0, 0, 1)",42,42,42,42,42,42,42,42,42,42,42,42,42,42
"U(2, 0, 0, 2)",1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164,1164
"U(2, 0, 1, 0)",47,47,47,47,47,47,47,47,47,47,47,47,47,47
"U(2, 0, 1, 1)",46,46,46,46,46,46,46,46,46,46,46,46,46,46
"U(2, 0, 1, 2)",1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
"U(2, 0, 2, 0)",48,48,48,48,48,48,48,48,48,48,48,48,48,48
"U(2, 0, 2, 1)",39,39,39,39,39,39,39,39,39,39,39,39,39,39
"U(2, 0, 2, 2)",858,858,858,858,858,858,858,858,858,858,858,858,858,858
"U(2, 0, 3, 0)",45,45,45,45,45,45,45,45,45,45,45,45,45,45
"U(2, 0, 3, 1)",37,37,37,37,37,37,37,37,37,37,37,37,37,37
"U(2, 0, 3, 2)",807,807,807,807,807,807,807,807,807,807,807,807,807,807
"U(2, 1, 0, 0)",56,56,56,56,56,56,56,56,56,56,56,56,56,56
"U(2, 1, 0, 1)",229,229,229,229,229,229,229,229,229,229,229,229,229,229
"U(2, 1, 0, 2)",1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958,1958
"U(2, 1, 1, 0)",67,67,67,67,67,67,67,67,67,67,67,67,67,67
"U(2, 1, 1, 1)",293,293,293,293,293,293,293,293,293,293,293,293,293,293
"U(2, 1, 1, 2)",2458,2458,2458,2458,2458,2458,2458,2458,2458,2458,2458,2458,2458,2458
"U(2, 1, 2, 0)",66,66,66,66,66,66,66,66,66,66,66,66,66,66
"U(2, 1, 2, 1)",258,258,258,258,258,258,258,258,258,258,258,258,258,258
"U(2, 1, 2, 2)",2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143,2143
"U(2, 1, 3, 0)",75,75,75,75,75,75,75,75,75,75,75,75,75,75
"U(2, 1, 3, 1)",265,265,265,265,265,265,265,265,265,265,265,265,265,265
"U(2, 1, 3, 2)",2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150
"U(2, 2, 0, 0)",42,42,42,42,42,42,42,42,42,42,42,42,42,42
"U(2, 2, 0, 1)",39,39,39,39,39,39,39,39,39,39,39,39,39,39
"U(2, 2, 0, 2)",920,920,920,920,920,920,920,920,920,920,920,920,920,920
"U(2, 2, 1, 0)",41,41,41,41,41,41,41,41,41,41,41,41,41,41
"U(2, 2, 1, 1)",54,54,54,54,54,54,54,54,54,54,54,54,54,54
"U(2, 2, 1, 2)",1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132,1132
"U(2, 2, 2, 0)",42,42,42,42,42,42,42,42,42,42,42,42,42,42
"U(2, 2, 2, 1)",36,36,36,36,36,36,36,36,36,36,36,36,36,36
"U(2, 2, 2, 2)",689,689,689,689,689,689,689,689,689,689,689,689,689,689
"U(2, 2, 3, 0)",40,40,40,40,40,40,40,40,40,40,40,40,40,40
"U(2, 2, 3, 1)",34,34,34,34,34,34,34,34,34,34,34,34,34,34
"U(2, 2, 3, 2)",644,644,644,644,644,644,644,644,644,644,644,644,644,644
"Z(0, 1, 0, 1, 0, 0)",7808,7808,7808,7808,7808,7808,7808,7808,7808,7808,7808,7808,7808,7808
"Z(0, 1, 0, 1, 0, 1)",8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399
"Z(0, 1, 0, 1, 0, 2)",7623,7623,7623,7623,7623,7623,7623,7623,7623,7623,7623,7623,7623,7623
"Z(0, 1, 0, 1, 1, 0)",9046,9046,9046,9046,9046,9046,9046,9046,9046,9046,9046,9046,9046,9046
"Z(0, 1, 0, 1, 1, 1)",7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216,7216
"Z(0, 1, 0, 1, 1, 2)",7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841
"Z(0, 1, 0, 1, 2, 0)",8759,8759,8759,8759,8759,8759,8759,8759,8759,8759,8759,8759,8759,8759
"Z(0, 1, 0, 1, 2, 1)",8205,8205,8205,8205,8205,8205,8205,8205,8205,8205,8205,8205,8205,8205
"Z(0, 1, 0, 1, 2, 2)",9803,9803,9803,9803,9803,9803,9803,9803,9803,9803,9803,9803,9803,9803
"Z(0, 1, 0, 1, 3, 0)",10209,10209,10209,10209,10209,10209,10209,10209,10209,10209,10209,10209,10209,10209
"Z(0, 1, 0, 1, 3, 1)",9405,9405,9405,9405,9405,9405,9405,9405,9405,9405,9405,9405,9405,9405
"Z(0, 1, 0, 1, 3, 2)",11996,11996,11996,11996,11996,11996,11996,11996,11996,11996,11996,11996,11996,11996
"Z(0, 1, 1, 0, 0, 0)",8376,8376,8376,8376,8376,8376,8376,8376,8376,8376,8376,8376,8376,8376
"Z(0, 1, 1, 0, 0, 1)",8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399,8399
"Z(0, 1, 1, 0, 0, 2)",8068,8068,8068,8068,8068,8068,8068,8068,8068,8068,8068,8068,8068,8068
"Z(0, 1, 1, 0, 1, 0)",9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603,9603
"Z(0, 1, 1, 0, 1, 1)",7220,7220,7220,7220,7220,7220,7220,7220,7220,7220,7220,7220,7220,7220
"Z(0, 1, 1, 0, 1, 2)",8344,8344,8344,8344,8344,8344,8344,8344,8344,8344,8344,8344,8344,8344
"Z(0, 1, 1, 0, 2, 0)",9290,9290,9290,9290,9290,9290,9290,9290,9290,9290,9290,9290,9290,9290
"Z(0, 1, 1, 0, 2, 1)",8207,8207,8207,8207,8207,8207,8207,8207,8207,8207,8207,8207,8207,8207
"Z(0, 1, 1, 0, 2, 2)",10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361,10361
"Z(0, 1, 1, 0, 3, 0)",10940,10940,10940,10940,10940,10940,10940,10940,10940,10940,10940,10940,10940,10940
"Z(0, 1, 1, 0, 3, 1)",9418,9418,9418,9418,9418,9418,9418,9418,9418,9418,9418,9418,9418,9418
"Z(0, 1, 1, 0, 3, 2)",12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837
"Z(0, 1, 1, 1, 0, 0)",8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579
"Z(0, 1, 1, 1, 0, 1)",8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499,8499
"Z(0, 1, 1, 1, 0, 2)",8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389,8389
"Z(0, 1, 1, 1, 1, 0)",9978,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978,9978
"Z(0, 1, 1, 1, 1, 1)",7309,7309,7309,7309,7309,7309,7309,7309,7309,7309,7309,7309,7309,7309
"Z(0, 1, 1, 1, 1, 2)",8699,8699,8699,8699,8699,8699,8699,8699,8699,8699,8699,8699,8699,8699
"Z(0, 1, 1, 1, 2, 0)",9661,9661,9661,9661,9661,9661,9661,9661,9661,9661,9661,9661,9661,9661
"Z(0, 1, 1, 1, 2, 1)",8308,8308,8308,8308,8308,8308,8308,8308,8308,8308,8308,8308,8308,8308
"Z(0, 1, 1, 1, 2, 2)",10768,10768,10768,10768,10768,10768,10768,10768,10768,10768,10768,10768,10768,10768
"Z(0, 1, 1, 1, 3, 0)",11421,11421,11421,11421,11421,11421,11421,11421,11421,11421,11421,11421,11421,11421
"Z(0, 1, 1, 1, 3, 1)",9538,9538,9538,9538,9538,9538,9538,9538,9538,9538,9538,9538,9538,9538
"Z(0, 1, 1, 1, 3, 2)",13405,13405,13405,13405,13405,13405,13405,13405,13405,13405,13405,13405,13405,13405
"Z(0, 2, 0, 1, 0, 0)",5608,5608,5608,5608,5608,5608,5608,5608,5608,5608,5608,5608,5608,5608
"Z(0, 2, 0, 1, 0, 1)",4712,4712,4712,4712,4712,4712,4712,4712,4712,4712,4712,4712,4712,4712
"Z(0, 2, 0, 1, 0, 2)",6191,6191,6191,6191,6191,6191,6191,6191,6191,6191,6191,6191,6191,6191
"Z(0, 2, 0, 1, 1, 0)",5647,5647,5647,5647,5647,5647,5647,5647,5647,5647,5647,5647,5647,5647
"Z(0, 2, 0, 1, 1, 1)",5755,5755,5755,5755,5755,5755,5755,5755,5755,5755,5755,5755,5755,5755
"Z(0, 2, 0, 1, 1, 2)",7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306,7306
"Z(0, 2, 0, 1, 2, 0)",5696,5696,5696,5696,5696,5696,5696,5696,5696,5696,5696,5696,5696,5696
"Z(0, 2, 0, 1, 2, 1)",4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615
"Z(0, 2, 0, 1, 2, 2)",5009,5009,5009,5009,5009,5009,5009,5009,5009,5009,5009,5009,5009,5009
"Z(0, 2, 0, 1, 3, 0)",5401,5401,5401,5401,5401,5401,5401,5401,5401,5401,5401,5401,5401,5401
"Z(0, 2, 0, 1, 3, 1)",4454,4454,4454,4454,4454,4454,4454,4454,4454,4454,4454,4454,4454,4454
"Z(0, 2, 0, 1, 3, 2)",4484,4484,4484,4484,4484,4484,4484,4484,4484,4484,4484,4484,4484,4484
"Z(0, 2, 1, 0, 0, 0)",5897,5897,5897,5897,5897,5897,5897,5897,5897,5897,5897,5897,5897,5897
