,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 1, 2)",1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770,1770
"U(1, 2, 2, 0)",147,147,147,147,147,147,147,147,147,147,147,147,147,147
"U(1, 2, 2, 1)",419,419,419,419,419,419,419,419,419,419,419,419,419,419
"U(1, 2, 2, 2)",1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903
"U(1, 2, 3, 0)",167,167,167,167,167,167,167,167,167,167,167,167,167,167
"U(1, 2, 3, 1)",447,447,447,447,447,447,447,447,447,447,447,447,447,447
"U(1, 2, 3, 2)",2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094,2094
"U(2, 0, 0, 0)",133,133,133,133,133,133,133,133,133,133,133,133,133,133
"U(2, 0, 0, 1)",133,133,133,133,133,133,133,133,133,133,133,133,133,133
"U(2, 0, 0, 2)",1793,1793,1793,1793,1793,1793,1793,1793,1793,1793,1793,1793,1793,1793
"U(2, 0, 1, 0)",125,125,125,125,125,125,125,125,125,125,125,125,125,125
"U(2, 0, 1, 1)",136,136,136,136,136,136,136,136,136,136,136,136,136,136
"U(2, 0, 1, 2)",1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
"U(2, 0, 2, 0)",127,127,127,127,127,127,127,127,127,127,127,127,127,127
"U(2, 0, 2, 1)",124,124,124,124,124,124,124,124,124,124,124,124,124,124
"U(2, 0, 2, 2)",1431,1431,1431,1431,1431,1431,1431,1431,1431,1431,1431,1431,1431,1431
"U(2, 0, 3, 0)",120,120,120,120,120,120,120,120,120,120,120,120,120,120
"U(2, 0, 3, 1)",115,115,115,115,115,115,115,115,115,115,115,115,115,115
"U(2, 0, 3, 2)",1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296,1296
"U(2, 1, 0, 0)",121,121,121,121,121,121,121,121,121,121,121,121,121,121
"U(2, 1, 0, 1)",335,335,335,335,335,335,335,335,335,335,335,335,335,335
"U(2, 1, 0, 2)",1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196,1196
"U(2, 1, 1, 0)",149,149,149,149,149,149,149,149,149,149,149,149,149,149
"U(2, 1, 1, 1)",410,410,410,410,410,410,410,410,410,410,410,410,410,410
"U(2, 1, 1, 2)",1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277,1277
"U(2, 1, 2, 0)",145,145,145,145,145,145,145,145,145,145,145,145,145,145
"U(2, 1, 2, 1)",389,389,389,389,389,389,389,389,389,389,389,389,389,389
"U(2, 1, 2, 2)",1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353,1353
"U(2, 1, 3, 0)",166,166,166,166,166,166,166,166,166,166,166,166,166,166
"U(2, 1, 3, 1)",415,415,415,415,415,415,415,415,415,415,415,415,415,415
"U(2, 1, 3, 2)",1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
"U(2, 2, 0, 0)",124,124,124,124,124,124,124,124,124,124,124,124,124,124
"U(2, 2, 0, 1)",125,125,125,125,125,125,125,125,125,125,125,125,125,125
"U(2, 2, 0, 2)",1846,1846,1846,1846,1846,1846,1846,1846,1846,1846,1846,1846,1846,1846
"U(2, 2, 1, 0)",118,118,118,118,118,118,118,118,118,118,118,118,118,118
"U(2, 2, 1, 1)",136,136,136,136,136,136,136,136,136,136,136,136,136,136
"U(2, 2, 1, 2)",1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629,1629
"U(2, 2, 2, 0)",120,120,120,120,120,120,120,120,120,120,120,120,120,120
"U(2, 2, 2, 1)",117,117,117,117,117,117,117,117,117,117,117,117,117,117
"U(2, 2, 2, 2)",1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360
"U(2, 2, 3, 0)",114,114,114,114,114,114,114,114,114,114,114,114,114,114
"U(2, 2, 3, 1)",109,109,109,109,109,109,109,109,109,109,109,109,109,109
"U(2, 2, 3, 2)",1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226,1226
"Z(0, 1, 0, 1, 0, 0)",6353,6353,6353,6353,6353,6353,6353,6353,6353,6353,6353,6353,6353,6353
"Z(0, 1, 0, 1, 0, 1)",6814,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814,6814
