,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",126324,274163,274163,274163,274163,274163,274163,274163,274163,274163,274163,274163,274163,274163,274163
"U(1, 1, 1, 2)",126324,161696,161696,161696,161696,161696,161696,161696,161696,161696,161696,161696,161696,161696,161696
"U(1, 1, 2, 0)",126324,233056,233056,233056,233056,233056,233056,233056,233056,233056,233056,233056,233056,233056,233056
"U(1, 1, 2, 1)",126324,356653,356653,356653,356653,356653,356653,356653,356653,356653,356653,356653,356653,356653,356653
"U(1, 1, 2, 2)",126324,263622,263622,263622,263622,263622,263622,263622,263622,263622,263622,263622,263622,263622,263622
"U(1, 1, 3, 0)",126324,285383,285383,285383,285383,285383,285383,285383,285383,285383,285383,285383,285383,285383,285383
"U(1, 1, 3, 1)",126324,443984,443984,443984,443984,443984,443984,443984,443984,443984,443984,443984,443984,443984,443984
"U(1, 1, 3, 2)",126324,340233,340233,340233,340233,340233,340233,340233,340233,340233,340233,340233,340233,340233,340233
"U(1, 2, 0, 0)",126324,111834,111834,111834,111834,111834,111834,111834,111834,111834,111834,111834,111834,111834,111834
"U(1, 2, 0, 1)",126324,120758,120758,120758,120758,120758,120758,120758,120758,120758,120758,120758,120758,120758,120758
"U(1, 2, 0, 2)",126324,106120,106120,106120,106120,106120,106120,106120,106120,106120,106120,106120,106120,106120,106120
"U(1, 2, 1, 0)",126324,134155,134155,134155,134155,134155,134155,134155,134155,134155,134155,134155,134155,134155,134155
"U(1, 2, 1, 1)",126324,160566,160566,160566,160566,160566,160566,160566,160566,160566,160566,160566,160566,160566,160566
"U(1, 2, 1, 2)",126324,122575,122575,122575,122575,122575,122575,122575,122575,122575,122575,122575,122575,122575,122575
"U(1, 2, 2, 0)",126324,131775,131775,131775,131775,131775,131775,131775,131775,131775,131775,131775,131775,131775,131775
"U(1, 2, 2, 1)",126324,144521,144521,144521,144521,144521,144521,144521,144521,144521,144521,144521,144521,144521,144521
"U(1, 2, 2, 2)",126324,121949,121949,121949,121949,121949,121949,121949,121949,121949,121949,121949,121949,121949,121949
"U(1, 2, 3, 0)",126324,146435,146435,146435,146435,146435,146435,146435,146435,146435,146435,146435,146435,146435,146435
"U(1, 2, 3, 1)",126324,147720,147720,147720,147720,147720,147720,147720,147720,147720,147720,147720,147720,147720,147720
"U(1, 2, 3, 2)",126324,115274,115274,115274,115274,115274,115274,115274,115274,115274,115274,115274,115274,115274,115274
"U(2, 0, 0, 0)",126324,104976,104976,104976,104976,104976,104976,104976,104976,104976,104976,104976,104976,104976,104976
"U(2, 0, 0, 1)",126324,90065,90065,90065,90065,90065,90065,90065,90065,90065,90065,90065,90065,90065,90065
"U(2, 0, 0, 2)",126324,120140,120140,120140,120140,120140,120140,120140,120140,120140,120140,120140,120140,120140,120140
"U(2, 0, 1, 0)",126324,99982,99982,99982,99982,99982,99982,99982,99982,99982,99982,99982,99982,99982,99982
"U(2, 0, 1, 1)",126324,99216,99216,99216,99216,99216,99216,99216,99216,99216,99216,99216,99216,99216,99216
"U(2, 0, 1, 2)",126324,132900,132900,132900,132900,132900,132900,132900,132900,132900,132900,132900,132900,132900,132900
"U(2, 0, 2, 0)",126324,101779,101779,101779,101779,101779,101779,101779,101779,101779,101779,101779,101779,101779,101779
"U(2, 0, 2, 1)",126324,82905,82905,82905,82905,82905,82905,82905,82905,82905,82905,82905,82905,82905,82905
"U(2, 0, 2, 2)",126324,88504,88504,88504,88504,88504,88504,88504,88504,88504,88504,88504,88504,88504,88504
"U(2, 0, 3, 0)",126324,96727,96727,96727,96727,96727,96727,96727,96727,96727,96727,96727,96727,96727,96727
"U(2, 0, 3, 1)",126324,79634,79634,79634,79634,79634,79634,79634,79634,79634,79634,79634,79634,79634,79634
"U(2, 0, 3, 2)",126324,83241,83241,83241,83241,83241,83241,83241,83241,83241,83241,83241,83241,83241,83241
"U(2, 1, 0, 0)",126324,119129,119129,119129,119129,119129,119129,119129,119129,119129,119129,119129,119129,119129,119129
"U(2, 1, 0, 1)",126324,135193,135193,135193,135193,135193,135193,135193,135193,135193,135193,135193,135193,135193,135193
"U(2, 1, 0, 2)",126324,118127,118127,118127,118127,118127,118127,118127,118127,118127,118127,118127,118127,118127,118127
"U(2, 1, 1, 0)",126324,142975,142975,142975,142975,142975,142975,142975,142975,142975,142975,142975,142975,142975,142975
"U(2, 1, 1, 1)",126324,173289,173289,173289,173289,173289,173289,173289,173289,173289,173289,173289,173289,173289,173289
"U(2, 1, 1, 2)",126324,148274,148274,148274,148274,148274,148274,148274,148274,148274,148274,148274,148274,148274,148274
"U(2, 1, 2, 0)",126324,139970,139970,139970,139970,139970,139970,139970,139970,139970,139970,139970,139970,139970,139970
"U(2, 1, 2, 1)",126324,152405,152405,152405,152405,152405,152405,152405,152405,152405,152405,152405,152405,152405,152405
"U(2, 1, 2, 2)",126324,129254,129254,129254,129254,129254,129254,129254,129254,129254,129254,129254,129254,129254,129254
"U(2, 1, 3, 0)",126324,159506,159506,159506,159506,159506,159506,159506,159506,159506,159506,159506,159506,159506,159506
"U(2, 1, 3, 1)",126324,156816,156816,156816,156816,156816,156816,156816,156816,156816,156816,156816,156816,156816,156816
"U(2, 1, 3, 2)",126324,129660,129660,129660,129660,129660,129660,129660,129660,129660,129660,129660,129660,129660,129660
"U(2, 2, 0, 0)",126324,90601,90601,90601,90601,90601,90601,90601,90601,90601,90601,90601,90601,90601,90601
"U(2, 2, 0, 1)",126324,82791,82791,82791,82791,82791,82791,82791,82791,82791,82791,82791,82791,82791,82791
"U(2, 2, 0, 2)",126324,94920,94920,94920,94920,94920,94920,94920,94920,94920,94920,94920,94920,94920,94920
"U(2, 2, 1, 0)",126324,88119,88119,88119,88119,88119,88119,88119,88119,88119,88119,88119,88119,88119,88119
"U(2, 2, 1, 1)",126324,114359,114359,114359,114359,114359,114359,114359,114359,114359,114359,114359,114359,114359,114359
"U(2, 2, 1, 2)",126324,116797,116797,116797,116797,116797,116797,116797,116797,116797,116797,116797,116797,116797,116797
"U(2, 2, 2, 0)",126324,89620,89620,89620,89620,89620,89620,89620,89620,89620,89620,89620,89620,89620,89620
"U(2, 2, 2, 1)",126324,76449,76449,76449,76449,76449,76449,76449,76449,76449,76449,76449,76449,76449,76449
"U(2, 2, 2, 2)",126324,71093,71093,71093,71093,71093,71093,71093,71093,71093,71093,71093,71093,71093,71093
"U(2, 2, 3, 0)",126324,86012,86012,86012,86012,86012,86012,86012,86012,86012,86012,86012,86012,86012,86012
"U(2, 2, 3, 1)",126324,73849,73849,73849,73849,73849,73849,73849,73849,73849,73849,73849,73849,73849,73849
"U(2, 2, 3, 2)",126324,66522,66522,66522,66522,66522,66522,66522,66522,66522,66522,66522,66522,66522,66522
"Z(0, 1, 0, 1, 0, 0)",126324,142249,142249,142249,142249,142249,142249,142249,142249,142249,142249,142249,142249,142249,142249
"Z(0, 1, 0, 1, 0, 1)",126324,153018,153018,153018,153018,153018,153018,153018,153018,153018,153018,153018,153018,153018,153018
"Z(0, 1, 0, 1, 0, 2)",126324,138882,138882,138882,138882,138882,138882,138882,138882,138882,138882,138882,138882,138882,138882
"Z(0, 1, 0, 1, 1, 0)",126324,164803,164803,164803,164803,164803,164803,164803,164803,164803,164803,164803,164803,164803,164803
"Z(0, 1, 0, 1, 1, 1)",126324,131458,131458,131458,131458,131458,131458,131458,131458,131458,131458,131458,131458,131458,131458
"Z(0, 1, 0, 1, 1, 2)",126324,142842,142842,142842,142842,142842,142842,142842,142842,142842,142842,142842,142842,142842,142842
"Z(0, 1, 0, 1, 2, 0)",126324,159569,159569,159569,159569,159569,159569,159569,159569,159569,159569,159569,159569,159569,159569
"Z(0, 1, 0, 1, 2, 1)",126324,149487,149487,149487,149487,149487,149487,149487,149487,149487,149487,149487,149487,149487,149487
"Z(0, 1, 0, 1, 2, 2)",126324,178581,178581,178581,178581,178581,178581,178581,178581,178581,178581,178581,178581,178581,178581
"Z(0, 1, 0, 1, 3, 0)",126324,185994,185994,185994,185994,185994,185994,185994,185994,185994,185994,185994,185994,185994,185994
"Z(0, 1, 0, 1, 3, 1)",126324,171333,171333,171333,171333,171333,171333,171333,171333,171333,171333,171333,171333,171333,171333
"Z(0, 1, 0, 1, 3, 2)",126324,218548,218548,218548,218548,218548,218548,218548,218548,218548,218548,218548,218548,218548,218548
"Z(0, 1, 1, 0, 0, 0)",126324,153373,153373,153373,153373,153373,153373,153373,153373,153373,153373,153373,153373,153373,153373
"Z(0, 1, 1, 0, 0, 1)",126324,153789,153789,153789,153789,153789,153789,153789,153789,153789,153789,153789,153789,153789,153789
"Z(0, 1, 1, 0, 0, 2)",126324,147723,147723,147723,147723,147723,147723,147723,147723,147723,147723,147723,147723,147723,147723
"Z(0, 1, 1, 0, 1, 0)",126324,175829,175829,175829,175829,175829,175829,175829,175829,175829,175829,175829,175829,175829,175829
"Z(0, 1, 1, 0, 1, 1)",126324,132192,132192,132192,132192,132192,132192,132192,132192,132192,132192,132192,132192,132192,132192
"Z(0, 1, 1, 0, 1, 2)",126324,152786,152786,152786,152786,152786,152786,152786,152786,152786,152786,152786,152786,152786,152786
"Z(0, 1, 1, 0, 2, 0)",126324,170103,170103,170103,170103,170103,170103,170103,170103,170103,170103,170103,170103,170103,170103
"Z(0, 1, 1, 0, 2, 1)",126324,150267,150267,150267,150267,150267,150267,150267,150267,150267,150267,150267,150267,150267,150267
"Z(0, 1, 1, 0, 2, 2)",126324,189710,189710,189710,189710,189710,189710,189710,189710,189710,189710,189710,189710,189710,189710
"Z(0, 1, 1, 0, 3, 0)",126324,200306,200306,200306,200306,200306,200306,200306,200306,200306,200306,200306,200306,200306,200306
"Z(0, 1, 1, 0, 3, 1)",126324,172445,172445,172445,172445,172445,172445,172445,172445,172445,172445,172445,172445,172445,172445
"Z(0, 1, 1, 0, 3, 2)",126324,235040,235040,235040,235040,235040,235040,235040,235040,235040,235040,235040,235040,235040,235040
"Z(0, 1, 1, 1, 0, 0)",126324,155390,155390,155390,155390,155390,155390,155390,155390,155390,155390,155390,155390,155390,155390
"Z(0, 1, 1, 1, 0, 1)",126324,153935,153935,153935,153935,153935,153935,153935,153935,153935,153935,153935,153935,153935,153935
"Z(0, 1, 1, 1, 0, 2)",126324,151944,151944,151944,151944,151944,151944,151944,151944,151944,151944,151944,151944,151944,151944
"Z(0, 1, 1, 1, 1, 0)",126324,180728,180728,180728,180728,180728,180728,180728,180728,180728,180728,180728,180728,180728,180728
"Z(0, 1, 1, 1, 1, 1)",126324,132393,132393,132393,132393,132393,132393,132393,132393,132393,132393,132393,132393,132393,132393
"Z(0, 1, 1, 1, 1, 2)",126324,157559,157559,157559,157559,157559,157559,157559,157559,157559,157559,157559,157559,157559,157559
"Z(0, 1, 1, 1, 2, 0)",126324,174976,174976,174976,174976,174976,174976,174976,174976,174976,174976,174976,174976,174976,174976
"Z(0, 1, 1, 1, 2, 1)",126324,150477,150477,150477,150477,150477,150477,150477,150477,150477,150477,150477,150477,150477,150477
"Z(0, 1, 1, 1, 2, 2)",126324,195023,195023,195023,195023,195023,195023,195023,195023,195023,195023,195023,195023,195023,195023
"Z(0, 1, 1, 1, 3, 0)",126324,206866,206866,206866,206866,206866,206866,206866,206866,206866,206866,206866,206866,206866,206866
"Z(0, 1, 1, 1, 3, 1)",126324,172756,172756,172756,172756,172756,172756,172756,172756,172756,172756,172756,172756,172756,172756
"Z(0, 1, 1, 1, 3, 2)",126324,242787,242787,242787,242787,242787,242787,242787,242787,242787,242787,242787,242787,242787,242787
"Z(0, 2, 0, 1, 0, 0)",126324,102166,102166,102166,102166,102166,102166,102166,102166,102166,102166,102166,102166,102166,102166
"Z(0, 2, 0, 1, 0, 1)",126324,85848,85848,85848,85848,85848,85848,85848,85848,85848,85848,85848,85848,85848,85848
"Z(0, 2, 0, 1, 0, 2)",126324,112793,112793,112793,112793,112793,112793,112793,112793,112793,112793,112793,112793,112793,112793
"Z(0, 2, 0, 1, 1, 0)",126324,102877,102877,102877,102877,102877,102877,102877,102877,102877,102877,102877,102877,102877,102877
"Z(0, 2, 0, 1, 1, 1)",126324,104848,104848,104848,104848,104848,104848,104848,104848,104848,104848,104848,104848,104848,104848
"Z(0, 2, 0, 1, 1, 2)",126324,133099,133099,133099,133099,133099,133099,133099,133099,133099,133099,133099,133099,133099,133099
"Z(0, 2, 0, 1, 2, 0)",126324,103768,103768,103768,103768,103768,103768,103768,103768,103768,103768,103768,103768,103768,103768
"Z(0, 2, 0, 1, 2, 1)",126324,84086,84086,84086,84086,84086,84086,84086,84086,84086,84086,84086,84086,84086,84086
"Z(0, 2, 0, 1, 2, 2)",126324,91249,91249,91249,91249,91249,91249,91249,91249,91249,91249,91249,91249,91249,91249
"Z(0, 2, 0, 1, 3, 0)",126324,98396,98396,98396,98396,98396,98396,98396,98396,98396,98396,98396,98396,98396,98396
"Z(0, 2, 0, 1, 3, 1)",126324,81152,81152,81152,81152,81152,81152,81152,81152,81152,81152,81152,81152,81152,81152
"Z(0, 2, 0, 1, 3, 2)",126324,81686,81686,81686,81686,81686,81686,81686,81686,81686,81686,81686,81686,81686,81686
"Z(0, 2, 1, 0, 0, 0)",126324,107985,107985,107985,107985,107985,107985,107985,107985,107985,107985,107985,107985,107985,107985
"Z(0, 2, 1, 0, 0, 1)",126324,86156,86156,86156,86156,86156,86156,86156,86156,86156,86156,86156,86156,86156,86156
"Z(0, 2, 1, 0, 0, 2)",126324,119546,119546,119546,119546,119546,119546,119546,119546,119546,119546,119546,119546,119546,119546
"Z(0, 2, 1, 0, 1, 0)",126324,108428,108428,108428,108428,108428,108428,108428,108428,108428,108428,108428,108428,108428,108428
"Z(0, 2, 1, 0, 1, 1)",126324,105346,105346,105346,105346,105346,105346,105346,105346,105346,105346,105346,105346,105346,105346
"Z(0, 2, 1, 0, 1, 2)",126324,143150,143150,143150,143150,143150,143150,143150,143150,143150,143150,143150,143150,143150,143150
"Z(0, 2, 1, 0, 2, 0)",126324,109502,109502,109502,109502,109502,109502,109502,109502,109502,109502,109502,109502,109502,109502
"Z(0, 2, 1, 0, 2, 1)",126324,84378,84378,84378,84378,84378,84378,84378,84378,84378,84378,84378,84378,84378,84378
"Z(0, 2, 1, 0, 2, 2)",126324,94864,94864,94864,94864,94864,94864,94864,94864,94864,94864,94864,94864,94864,94864
"Z(0, 2, 1, 0, 3, 0)",126324,103644,103644,103644,103644,103644,103644,103644,103644,103644,103644,103644,103644,103644,103644
