,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",215039,451853,451853,451853,451853,451853,451853,451853,451853,451853,451853,451853,451853,451853,451853
"U(1, 1, 1, 2)",215039,270854,270854,270854,270854,270854,270854,270854,270854,270854,270854,270854,270854,270854,270854
"U(1, 1, 2, 0)",215039,314320,314320,314320,314320,314320,314320,314320,314320,314320,314320,314320,314320,314320,314320
"U(1, 1, 2, 1)",215039,469048,469048,469048,469048,469048,469048,469048,469048,469048,469048,469048,469048,469048,469048
"U(1, 1, 2, 2)",215039,371182,371182,371182,371182,371182,371182,371182,371182,371182,371182,371182,371182,371182,371182
"U(1, 1, 3, 0)",215039,379594,379594,379594,379594,379594,379594,379594,379594,379594,379594,379594,379594,379594,379594
"U(1, 1, 3, 1)",215039,668217,668217,668217,668217,668217,668217,668217,668217,668217,668217,668217,668217,668217,668217
"U(1, 1, 3, 2)",215039,455704,455704,455704,455704,455704,455704,455704,455704,455704,455704,455704,455704,455704,455704
"U(1, 2, 0, 0)",215039,201230,201230,201230,201230,201230,201230,201230,201230,201230,201230,201230,201230,201230,201230
"U(1, 2, 0, 1)",215039,248755,248755,248755,248755,248755,248755,248755,248755,248755,248755,248755,248755,248755,248755
"U(1, 2, 0, 2)",215039,195343,195343,195343,195343,195343,195343,195343,195343,195343,195343,195343,195343,195343,195343
"U(1, 2, 1, 0)",215039,243704,243704,243704,243704,243704,243704,243704,243704,243704,243704,243704,243704,243704,243704
"U(1, 2, 1, 1)",215039,298025,298025,298025,298025,298025,298025,298025,298025,298025,298025,298025,298025,298025,298025
"U(1, 2, 1, 2)",215039,254163,254163,254163,254163,254163,254163,254163,254163,254163,254163,254163,254163,254163,254163
"U(1, 2, 2, 0)",215039,238023,238023,238023,238023,238023,238023,238023,238023,238023,238023,238023,238023,238023,238023
"U(1, 2, 2, 1)",215039,299258,299258,299258,299258,299258,299258,299258,299258,299258,299258,299258,299258,299258,299258
"U(1, 2, 2, 2)",215039,250750,250750,250750,250750,250750,250750,250750,250750,250750,250750,250750,250750,250750,250750
"U(1, 2, 3, 0)",215039,269004,269004,269004,269004,269004,269004,269004,269004,269004,269004,269004,269004,269004,269004
"U(1, 2, 3, 1)",215039,298505,298505,298505,298505,298505,298505,298505,298505,298505,298505,298505,298505,298505,298505
"U(1, 2, 3, 2)",215039,254684,254684,254684,254684,254684,254684,254684,254684,254684,254684,254684,254684,254684,254684
"U(2, 0, 0, 0)",215039,195495,195495,195495,195495,195495,195495,195495,195495,195495,195495,195495,195495,195495,195495
"U(2, 0, 0, 1)",215039,176967,176967,176967,176967,176967,176967,176967,176967,176967,176967,176967,176967,176967,176967
"U(2, 0, 0, 2)",215039,243406,243406,243406,243406,243406,243406,243406,243406,243406,243406,243406,243406,243406,243406
"U(2, 0, 1, 0)",215039,184442,184442,184442,184442,184442,184442,184442,184442,184442,184442,184442,184442,184442,184442
"U(2, 0, 1, 1)",215039,183198,183198,183198,183198,183198,183198,183198,183198,183198,183198,183198,183198,183198,183198
"U(2, 0, 1, 2)",215039,202610,202610,202610,202610,202610,202610,202610,202610,202610,202610,202610,202610,202610,202610
"U(2, 0, 2, 0)",215039,187790,187790,187790,187790,187790,187790,187790,187790,187790,187790,187790,187790,187790,187790
"U(2, 0, 2, 1)",215039,173350,173350,173350,173350,173350,173350,173350,173350,173350,173350,173350,173350,173350,173350
"U(2, 0, 2, 2)",215039,156686,156686,156686,156686,156686,156686,156686,156686,156686,156686,156686,156686,156686,156686
"U(2, 0, 3, 0)",215039,177783,177783,177783,177783,177783,177783,177783,177783,177783,177783,177783,177783,177783,177783
"U(2, 0, 3, 1)",215039,151180,151180,151180,151180,151180,151180,151180,151180,151180,151180,151180,151180,151180,151180
"U(2, 0, 3, 2)",215039,152252,152252,152252,152252,152252,152252,152252,152252,152252,152252,152252,152252,152252,152252
"U(2, 1, 0, 0)",215039,181497,181497,181497,181497,181497,181497,181497,181497,181497,181497,181497,181497,181497,181497
"U(2, 1, 0, 1)",215039,216006,216006,216006,216006,216006,216006,216006,216006,216006,216006,216006,216006,216006,216006
"U(2, 1, 0, 2)",215039,125898,125898,125898,125898,125898,125898,125898,125898,125898,125898,125898,125898,125898,125898
"U(2, 1, 1, 0)",215039,221015,221015,221015,221015,221015,221015,221015,221015,221015,221015,221015,221015,221015,221015
"U(2, 1, 1, 1)",215039,265456,265456,265456,265456,265456,265456,265456,265456,265456,265456,265456,265456,265456,265456
"U(2, 1, 1, 2)",215039,143921,143921,143921,143921,143921,143921,143921,143921,143921,143921,143921,143921,143921,143921
"U(2, 1, 2, 0)",215039,216035,216035,216035,216035,216035,216035,216035,216035,216035,216035,216035,216035,216035,216035
"U(2, 1, 2, 1)",215039,255348,255348,255348,255348,255348,255348,255348,255348,255348,255348,255348,255348,255348,255348
"U(2, 1, 2, 2)",215039,149244,149244,149244,149244,149244,149244,149244,149244,149244,149244,149244,149244,149244,149244
"U(2, 1, 3, 0)",215039,247071,247071,247071,247071,247071,247071,247071,247071,247071,247071,247071,247071,247071,247071
"U(2, 1, 3, 1)",215039,255059,255059,255059,255059,255059,255059,255059,255059,255059,255059,255059,255059,255059,255059
"U(2, 1, 3, 2)",215039,153804,153804,153804,153804,153804,153804,153804,153804,153804,153804,153804,153804,153804,153804
"U(2, 2, 0, 0)",215039,178177,178177,178177,178177,178177,178177,178177,178177,178177,178177,178177,178177,178177,178177
"U(2, 2, 0, 1)",215039,172694,172694,172694,172694,172694,172694,172694,172694,172694,172694,172694,172694,172694,172694
"U(2, 2, 0, 2)",215039,220662,220662,220662,220662,220662,220662,220662,220662,220662,220662,220662,220662,220662,220662
"U(2, 2, 1, 0)",215039,171547,171547,171547,171547,171547,171547,171547,171547,171547,171547,171547,171547,171547,171547
"U(2, 2, 1, 1)",215039,191855,191855,191855,191855,191855,191855,191855,191855,191855,191855,191855,191855,191855,191855
"U(2, 2, 1, 2)",215039,178542,178542,178542,178542,178542,178542,178542,178542,178542,178542,178542,178542,178542,178542
"U(2, 2, 2, 0)",215039,173964,173964,173964,173964,173964,173964,173964,173964,173964,173964,173964,173964,173964,173964
"U(2, 2, 2, 1)",215039,174444,174444,174444,174444,174444,174444,174444,174444,174444,174444,174444,174444,174444,174444
"U(2, 2, 2, 2)",215039,139775,139775,139775,139775,139775,139775,139775,139775,139775,139775,139775,139775,139775,139775
"U(2, 2, 3, 0)",215039,167582,167582,167582,167582,167582,167582,167582,167582,167582,167582,167582,167582,167582,167582
"U(2, 2, 3, 1)",215039,145421,145421,145421,145421,145421,145421,145421,145421,145421,145421,145421,145421,145421,145421
"U(2, 2, 3, 2)",215039,136749,136749,136749,136749,136749,136749,136749,136749,136749,136749,136749,136749,136749,136749
"Z(0, 1, 0, 1, 0, 0)",215039,200576,200576,200576,200576,200576,200576,200576,200576,200576,200576,200576,200576,200576,200576
"Z(0, 1, 0, 1, 0, 1)",215039,212835,212835,212835,212835,212835,212835,212835,212835,212835,212835,212835,212835,212835,212835
"Z(0, 1, 0, 1, 0, 2)",215039,176921,176921,176921,176921,176921,176921,176921,176921,176921,176921,176921,176921,176921,176921
"Z(0, 1, 0, 1, 1, 0)",215039,248597,248597,248597,248597,248597,248597,248597,248597,248597,248597,248597,248597,248597,248597
"Z(0, 1, 0, 1, 1, 1)",215039,212237,212237,212237,212237,212237,212237,212237,212237,212237,212237,212237,212237,212237,212237
"Z(0, 1, 0, 1, 1, 2)",215039,226258,226258,226258,226258,226258,226258,226258,226258,226258,226258,226258,226258,226258,226258
"Z(0, 1, 0, 1, 2, 0)",215039,242634,242634,242634,242634,242634,242634,242634,242634,242634,242634,242634,242634,242634,242634
"Z(0, 1, 0, 1, 2, 1)",215039,210423,210423,210423,210423,210423,210423,210423,210423,210423,210423,210423,210423,210423,210423
"Z(0, 1, 0, 1, 2, 2)",215039,263166,263166,263166,263166,263166,263166,263166,263166,263166,263166,263166,263166,263166,263166
"Z(0, 1, 0, 1, 3, 0)",215039,282894,282894,282894,282894,282894,282894,282894,282894,282894,282894,282894,282894,282894,282894
"Z(0, 1, 0, 1, 3, 1)",215039,259265,259265,259265,259265,259265,259265,259265,259265,259265,259265,259265,259265,259265,259265
"Z(0, 1, 0, 1, 3, 2)",215039,310224,310224,310224,310224,310224,310224,310224,310224,310224,310224,310224,310224,310224,310224
"Z(0, 1, 1, 0, 0, 0)",215039,223536,223536,223536,223536,223536,223536,223536,223536,223536,223536,223536,223536,223536,223536
"Z(0, 1, 1, 0, 0, 1)",215039,213290,213290,213290,213290,213290,213290,213290,213290,213290,213290,213290,213290,213290,213290
"Z(0, 1, 1, 0, 0, 2)",215039,195512,195512,195512,195512,195512,195512,195512,195512,195512,195512,195512,195512,195512,195512
"Z(0, 1, 1, 0, 1, 0)",215039,277710,277710,277710,277710,277710,277710,277710,277710,277710,277710,277710,277710,277710,277710
