,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",221677,484143,484143,484143,484143,484143,484143,484143,484143,484143,484143,484143,484143,484143,484143
"U(1, 1, 1, 2)",221677,382541,382541,382541,382541,382541,382541,382541,382541,382541,382541,382541,382541,382541,382541
"U(1, 1, 2, 0)",221677,416072,416072,416072,416072,416072,416072,416072,416072,416072,416072,416072,416072,416072,416072
"U(1, 1, 2, 1)",221677,573346,573346,573346,573346,573346,573346,573346,573346,573346,573346,573346,573346,573346,573346
"U(1, 1, 2, 2)",221677,505504,505504,505504,505504,505504,505504,505504,505504,505504,505504,505504,505504,505504,505504
"U(1, 1, 3, 0)",221677,507161,507161,507161,507161,507161,507161,507161,507161,507161,507161,507161,507161,507161,507161
"U(1, 1, 3, 1)",221677,803563,803563,803563,803563,803563,803563,803563,803563,803563,803563,803563,803563,803563,803563
"U(1, 1, 3, 2)",221677,605359,605359,605359,605359,605359,605359,605359,605359,605359,605359,605359,605359,605359,605359
"U(1, 2, 0, 0)",221677,194923,194923,194923,194923,194923,194923,194923,194923,194923,194923,194923,194923,194923,194923
"U(1, 2, 0, 1)",221677,211435,211435,211435,211435,211435,211435,211435,211435,211435,211435,211435,211435,211435,211435
"U(1, 2, 0, 2)",221677,184073,184073,184073,184073,184073,184073,184073,184073,184073,184073,184073,184073,184073,184073
"U(1, 2, 1, 0)",221677,232044,232044,232044,232044,232044,232044,232044,232044,232044,232044,232044,232044,232044,232044
"U(1, 2, 1, 1)",221677,286863,286863,286863,286863,286863,286863,286863,286863,286863,286863,286863,286863,286863,286863
"U(1, 2, 1, 2)",221677,224288,224288,224288,224288,224288,224288,224288,224288,224288,224288,224288,224288,224288,224288
"U(1, 2, 2, 0)",221677,227940,227940,227940,227940,227940,227940,227940,227940,227940,227940,227940,227940,227940,227940
"U(1, 2, 2, 1)",221677,269175,269175,269175,269175,269175,269175,269175,269175,269175,269175,269175,269175,269175,269175
"U(1, 2, 2, 2)",221677,199003,199003,199003,199003,199003,199003,199003,199003,199003,199003,199003,199003,199003,199003
"U(1, 2, 3, 0)",221677,251479,251479,251479,251479,251479,251479,251479,251479,251479,251479,251479,251479,251479,251479
"U(1, 2, 3, 1)",221677,251659,251659,251659,251659,251659,251659,251659,251659,251659,251659,251659,251659,251659,251659
"U(1, 2, 3, 2)",221677,209020,209020,209020,209020,209020,209020,209020,209020,209020,209020,209020,209020,209020,209020
"U(2, 0, 0, 0)",221677,181729,181729,181729,181729,181729,181729,181729,181729,181729,181729,181729,181729,181729,181729
"U(2, 0, 0, 1)",221677,161777,161777,161777,161777,161777,161777,161777,161777,161777,161777,161777,161777,161777,161777
"U(2, 0, 0, 2)",221677,198108,198108,198108,198108,198108,198108,198108,198108,198108,198108,198108,198108,198108,198108
"U(2, 0, 1, 0)",221677,173967,173967,173967,173967,173967,173967,173967,173967,173967,173967,173967,173967,173967,173967
"U(2, 0, 1, 1)",221677,176920,176920,176920,176920,176920,176920,176920,176920,176920,176920,176920,176920,176920,176920
"U(2, 0, 1, 2)",221677,188175,188175,188175,188175,188175,188175,188175,188175,188175,188175,188175,188175,188175,188175
"U(2, 0, 2, 0)",221677,177046,177046,177046,177046,177046,177046,177046,177046,177046,177046,177046,177046,177046,177046
"U(2, 0, 2, 1)",221677,157126,157126,157126,157126,157126,157126,157126,157126,157126,157126,157126,157126,157126,157126
"U(2, 0, 2, 2)",221677,146650,146650,146650,146650,146650,146650,146650,146650,146650,146650,146650,146650,146650,146650
"U(2, 0, 3, 0)",221677,168911,168911,168911,168911,168911,168911,168911,168911,168911,168911,168911,168911,168911,168911
"U(2, 0, 3, 1)",221677,138208,138208,138208,138208,138208,138208,138208,138208,138208,138208,138208,138208,138208,138208
"U(2, 0, 3, 2)",221677,142963,142963,142963,142963,142963,142963,142963,142963,142963,142963,142963,142963,142963,142963
"U(2, 1, 0, 0)",221677,207354,207354,207354,207354,207354,207354,207354,207354,207354,207354,207354,207354,207354,207354
"U(2, 1, 0, 1)",221677,239974,239974,239974,239974,239974,239974,239974,239974,239974,239974,239974,239974,239974,239974
"U(2, 1, 0, 2)",221677,205037,205037,205037,205037,205037,205037,205037,205037,205037,205037,205037,205037,205037,205037
"U(2, 1, 1, 0)",221677,247273,247273,247273,247273,247273,247273,247273,247273,247273,247273,247273,247273,247273,247273
"U(2, 1, 1, 1)",221677,302833,302833,302833,302833,302833,302833,302833,302833,302833,302833,302833,302833,302833,302833
"U(2, 1, 1, 2)",221677,244175,244175,244175,244175,244175,244175,244175,244175,244175,244175,244175,244175,244175,244175
"U(2, 1, 2, 0)",221677,242188,242188,242188,242188,242188,242188,242188,242188,242188,242188,242188,242188,242188,242188
"U(2, 1, 2, 1)",221677,285182,285182,285182,285182,285182,285182,285182,285182,285182,285182,285182,285182,285182,285182
"U(2, 1, 2, 2)",221677,215048,215048,215048,215048,215048,215048,215048,215048,215048,215048,215048,215048,215048,215048
"U(2, 1, 3, 0)",221677,274965,274965,274965,274965,274965,274965,274965,274965,274965,274965,274965,274965,274965,274965
"U(2, 1, 3, 1)",221677,270360,270360,270360,270360,270360,270360,270360,270360,270360,270360,270360,270360,270360,270360
"U(2, 1, 3, 2)",221677,217075,217075,217075,217075,217075,217075,217075,217075,217075,217075,217075,217075,217075,217075
"U(2, 2, 0, 0)",221677,154774,154774,154774,154774,154774,154774,154774,154774,154774,154774,154774,154774,154774,154774
"U(2, 2, 0, 1)",221677,147233,147233,147233,147233,147233,147233,147233,147233,147233,147233,147233,147233,147233,147233
"U(2, 2, 0, 2)",221677,143705,143705,143705,143705,143705,143705,143705,143705,143705,143705,143705,143705,143705,143705
"U(2, 2, 1, 0)",221677,151412,151412,151412,151412,151412,151412,151412,151412,151412,151412,151412,151412,151412,151412
"U(2, 2, 1, 1)",221677,200215,200215,200215,200215,200215,200215,200215,200215,200215,200215,200215,200215,200215,200215
"U(2, 2, 1, 2)",221677,143649,143649,143649,143649,143649,143649,143649,143649,143649,143649,143649,143649,143649,143649
"U(2, 2, 2, 0)",221677,153809,153809,153809,153809,153809,153809,153809,153809,153809,153809,153809,153809,153809,153809
"U(2, 2, 2, 1)",221677,150032,150032,150032,150032,150032,150032,150032,150032,150032,150032,150032,150032,150032,150032
"U(2, 2, 2, 2)",221677,115196,115196,115196,115196,115196,115196,115196,115196,115196,115196,115196,115196,115196,115196
"U(2, 2, 3, 0)",221677,148304,148304,148304,148304,148304,148304,148304,148304,148304,148304,148304,148304,148304,148304
"U(2, 2, 3, 1)",221677,124692,124692,124692,124692,124692,124692,124692,124692,124692,124692,124692,124692,124692,124692
"U(2, 2, 3, 2)",221677,115391,115391,115391,115391,115391,115391,115391,115391,115391,115391,115391,115391,115391,115391
"Z(0, 1, 0, 1, 0, 0)",221677,263895,263895,263895,263895,263895,263895,263895,263895,263895,263895,263895,263895,263895,263895
"Z(0, 1, 0, 1, 0, 1)",221677,275912,275912,275912,275912,275912,275912,275912,275912,275912,275912,275912,275912,275912,275912
"Z(0, 1, 0, 1, 0, 2)",221677,265417,265417,265417,265417,265417,265417,265417,265417,265417,265417,265417,265417,265417,265417
"Z(0, 1, 0, 1, 1, 0)",221677,305449,305449,305449,305449,305449,305449,305449,305449,305449,305449,305449,305449,305449,305449
