,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",122542,246825,247741,248614,249445,250232,250976,251678,252337,252955,253531,254067,254563,255019,255437
"U(1, 1, 1, 2)",122542,64418,63381,62355,61342,60340,59352,58377,57415,56466,55532,54612,53705,52813,51936
"U(1, 1, 2, 0)",122542,150889,150676,150392,150043,149635,149172,148657,148095,147489,146842,146157,145437,144684,143901
"U(1, 1, 2, 1)",122542,362475,364797,367036,369194,371269,373263,375178,377014,378773,380456,382065,383602,385069,386466
"U(1, 1, 2, 2)",122542,95557,94833,94092,93335,92565,91782,90988,90184,89371,88552,87726,86896,86062,85225
"U(1, 1, 3, 0)",122542,242047,242727,243342,243892,244381,244808,245175,245484,245737,245934,246077,246167,246206,246195
"U(1, 1, 3, 1)",122542,826089,836614,847127,857624,868102,878558,888991,899398,909777,920128,930447,940735,950991,961212
"U(1, 1, 3, 2)",122542,202398,203017,203592,204122,204610,205057,205465,205836,206171,206473,206742,206981,207192,207376
"U(1, 2, 0, 0)",122542,42596,41306,40061,38858,37696,36573,35489,34442,33430,32452,31507,30593,29710,28857
"U(1, 2, 0, 1)",122542,54801,53632,52499,51400,50335,49303,48302,47331,46390,45477,44591,43731,42897,42087
"U(1, 2, 0, 2)",122542,31964,30511,29139,27844,26621,25466,24374,23343,22369,21448,20578,19755,18977,18241
"U(1, 2, 1, 0)",122542,62229,61146,60072,59006,57950,56904,55868,54844,53831,52831,51843,50867,49904,48955
"U(1, 2, 1, 1)",122542,92961,92194,91412,90617,89810,88993,88169,87338,86502,85662,84819,83974,83128,82283
"U(1, 2, 1, 2)",122542,36545,35205,33918,32680,31491,30348,29250,28196,27183,26210,25276,24379,23518,22691
"U(1, 2, 2, 0)",122542,90678,89957,89173,88335,87452,86530,85575,84592,83585,82558,81514,80456,79387,78310
"U(1, 2, 2, 1)",122542,121503,121085,120619,120112,119570,118997,118396,117772,117127,116464,115784,115089,114382,113663
"U(1, 2, 2, 2)",122542,48500,47349,46207,45075,43957,42854,41768,40701,39652,38623,37615,36627,35661,34716
"U(1, 2, 3, 0)",122542,125553,125070,124542,123973,123366,122725,122053,121352,120626,119876,119104,118311,117501,116673
"U(1, 2, 3, 1)",122542,158520,158575,158598,158592,158561,158505,158428,158331,158216,158083,157935,157771,157594,157404
"U(1, 2, 3, 2)",122542,58169,57143,56104,55059,54011,52966,51924,50890,49866,48851,47849,46861,45886,44926
"U(2, 0, 0, 0)",122542,82284,81492,80714,79951,79202,78468,77748,77042,76351,75674,75011,74361,73726,73104
"U(2, 0, 0, 1)",122542,98669,98019,97376,96740,96110,95487,94870,94259,93655,93058,92466,91882,91304,90732
"U(2, 0, 0, 2)",122542,117751,117232,116702,116163,115614,115057,114492,113919,113339,112753,112161,111563,110961,110354
