,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",126324,342973,346283,349519,352687,355800,358858,361853,364806,367710,370579,373412,376212,378986,381725
"U(1, 1, 1, 2)",126324,108427,109151,109827,110457,111065,111716,112324,112893,113424,113919,114395,114954,115480,115971
"U(1, 1, 2, 0)",126324,179607,180865,182044,183147,184181,185147,186075,187080,188021,188902,189725,190491,191226,192103
"U(1, 1, 2, 1)",126324,374968,378054,381042,383941,386764,389513,392179,394785,397326,399814,402251,404642,406992,409295
"U(1, 1, 2, 2)",126324,211407,212887,214266,215549,216746,217857,219046,220282,221432,222504,223500,224424,225281,226116
"U(1, 1, 3, 0)",126324,351958,355041,358012,360876,363647,366325,368902,371399,373809,376145,378407,380600,382728,384784
"U(1, 1, 3, 1)",126324,1254551,1271214,1287611,1303756,1319697,1335426,1350913,1366233,1381357,1396331,1411151,1425830,1440389,1454796
"U(1, 1, 3, 2)",126324,662810,669519,676049,682409,688625,694694,700602,706389,712042,717583,723014,728341,733576,738702
"U(1, 2, 0, 0)",126324,85117,83714,82299,80882,79471,78072,76685,75317,73968,72640,71335,70052,68794,67558
"U(1, 2, 0, 1)",126324,86624,86266,85684,84950,84114,83205,82243,81248,80227,79191,78147,77099,76052,75008
"U(1, 2, 0, 2)",126324,82456,79832,77279,74798,72393,70061,67801,65615,63500,61456,59482,57576,55736,53959
"U(1, 2, 1, 0)",126324,89813,90762,91486,92021,92396,92631,92740,92743,92649,92470,92216,91893,91510,91070
"U(1, 2, 1, 1)",126324,110346,111009,111635,112361,113031,113645,114203,114713,115391,116018,116591,117115,117593,118024
"U(1, 2, 1, 2)",126324,88059,87956,87780,87537,87234,86873,86456,85992,85481,84929,84340,83716,83061,82375
"U(1, 2, 2, 0)",126324,86804,85898,85025,84184,83375,82595,81839,81111,80406,79726,79068,78431,77816,77218
"U(1, 2, 2, 1)",126324,87501,86739,86028,85378,84794,84330,83936,83593,83297,83046,82835,82663,82527,82422
"U(1, 2, 2, 2)",126324,86982,86593,86067,85441,84741,83985,83183,82349,81489,80613,79724,78827,77926,77023
"U(1, 2, 3, 0)",126324,87167,86481,85802,85128,84465,83811,83165,82531,81907,81295,80696,80110,79538,78977
"U(1, 2, 3, 1)",126324,87661,87551,87557,87466,87306,87094,86837,86552,86242,85916,85578,85989,86447,86898
"U(1, 2, 3, 2)",126324,80703,76624,72929,69549,66433,63547,60859,58352,56007,53811,51750,49815,47996,46284
"U(2, 0, 0, 0)",126324,84435,82676,80948,79251,77585,75950,74342,72766,71219,69702,68214,66756,65327,63925
"U(2, 0, 0, 1)",126324,83045,80355,77850,75501,73287,71190,69195,67295,65479,63742,62077,60479,58944,57467
"U(2, 0, 0, 2)",126324,89753,90166,90537,90868,91162,91419,91638,91824,91976,92099,92192,92256,92294,92305
"U(2, 0, 1, 0)",126324,82307,79449,76729,74134,71655,69282,67006,64824,62727,60714,58778,56916,55125,53400
"U(2, 0, 1, 1)",126324,84105,82148,80248,78400,76605,74857,73153,71495,69877,68301,66765,65267,63806,62381
"U(2, 0, 1, 2)",126324,86626,85841,85032,84201,83354,82492,81614,80727,79830,78926,78018,77105,76190,75273
"U(2, 0, 2, 0)",126324,85796,84637,83476,82314,81156,80003,78852,77710,76574,75449,74334,73229,72137,71055
"U(2, 0, 2, 1)",126324,84654,82960,81303,79680,78092,76536,75009,73513,72046,70609,69199,67818,66464,65136
"U(2, 0, 2, 2)",126324,81887,78795,75871,73097,70458,67942,65536,63235,61031,58918,56891,54945,53076,51278
"U(2, 0, 3, 0)",126324,85776,84575,83383,82200,81030,79874,78730,77602,76489,75393,74315,73254,72212,71187
"U(2, 0, 3, 1)",126324,82795,80218,77743,75364,73075,70869,68739,66684,64699,62781,60927,59135,57402,55724
"U(2, 0, 3, 2)",126324,82270,79437,76726,74130,71643,69254,66958,64751,62628,60585,58618,56724,54901,53142
"U(2, 1, 0, 0)",126324,87414,87255,86955,86535,86015,85410,84727,83983,83183,82338,81452,80533,79586,78614
"U(2, 1, 0, 1)",126324,90166,91330,92197,92843,93322,93667,93902,94049,94120,94129,94082,93988,93854,93681
"U(2, 1, 0, 2)",126324,88721,88895,88982,88991,88931,88806,88620,88381,88092,87759,87384,86973,86528,86051
"U(2, 1, 1, 0)",126324,87796,87710,87499,87186,86790,86321,85788,85203,84570,83897,83187,82446,81677,80882
"U(2, 1, 1, 1)",126324,104423,105148,105812,106420,106977,107607,108271,108882,109439,109947,110409,110827,111204,111689
"U(2, 1, 1, 2)",126324,90202,90769,91297,91787,92242,92661,93042,93392,93707,93991,94244,94468,94664,94829
"U(2, 1, 2, 0)",126324,97943,98483,98942,99460,100124,100700,101188,101599,102119,102820,103429,103951,104394,104758
"U(2, 1, 2, 1)",126324,159229,160184,161268,162271,163202,164061,164848,165757,166676,167527,168313,169036,169701,170307
"U(2, 1, 2, 2)",126324,86518,85864,85109,84282,83405,82492,81550,80592,79621,78646,77668,76692,75722,74757
"U(2, 1, 3, 0)",126324,255284,257448,259540,261562,263525,265429,267268,269057,270792,272481,274126,275728,277293,278813
"U(2, 1, 3, 1)",126324,221000,222482,223898,225252,226553,227800,228990,230157,231284,232371,233418,234428,235405,236376
"U(2, 1, 3, 2)",126324,95472,96151,96596,97959,99160,100069,100726,101171,101428,101525,101478,101307,101026,100646
"U(2, 2, 0, 0)",126324,83246,80817,78501,76284,74159,72117,70147,68249,66415,64643,62929,61270,59663,58105
"U(2, 2, 0, 1)",126324,82012,78682,75638,72827,70214,67772,65476,63315,61272,59339,57506,55765,54110,52533
"U(2, 2, 0, 2)",126324,81745,78714,75803,73008,70325,67749,65273,62897,60615,58424,56320,54299,52360,50497
"U(2, 2, 1, 0)",126324,81405,78013,74834,71841,69014,66336,63791,61371,59066,56867,54769,52764,50848,49014
"U(2, 2, 1, 1)",126324,87945,87602,87246,86879,86504,86123,85733,85339,84940,84539,84136,83732,83327,82921
"U(2, 2, 1, 2)",126324,80718,77265,73943,70752,67689,64750,61931,59231,56644,54169,51801,49536,47372,45303
"U(2, 2, 2, 0)",126324,84525,82684,80911,79202,77554,75961,74418,72925,71478,70076,68717,67397,66117,64873
"U(2, 2, 2, 1)",126324,83101,80277,77687,75296,73080,71018,69089,67284,65590,63998,62500,61089,59759,58502
"U(2, 2, 2, 2)",126324,78637,73723,69185,64980,61075,57441,54051,50887,47930,45165,42578,40154,37883,35754
"U(2, 2, 3, 0)",126324,83922,81775,79723,77761,75883,74084,72357,70701,69110,67584,66119,64712,63361,62062
"U(2, 2, 3, 1)",126324,81453,78041,74853,71862,69048,66392,63878,61497,59236,57090,55050,53109,51262,49503
"U(2, 2, 3, 2)",126324,77829,72247,67195,62587,58362,54473,50881,47557,44475,41615,38956,36483,34180,32034
"Z(0, 1, 0, 1, 0, 0)",126324,88870,89234,89471,89590,89606,89524,89350,89097,88769,88375,87919,87408,86847,86239
"Z(0, 1, 0, 1, 0, 1)",126324,89288,90489,91303,91799,92031,92040,91856,91510,91022,90412,89696,88888,88000,87041
"Z(0, 1, 0, 1, 0, 2)",126324,88448,88544,88548,88467,88312,88087,87796,87449,87048,86601,86110,85581,85016,84418
"Z(0, 1, 0, 1, 1, 0)",126324,96743,97243,97715,98415,99026,99551,99991,100354,101041,101695,102261,102744,103148,103474
"Z(0, 1, 0, 1, 1, 1)",126324,85377,83882,82446,81062,79726,78432,77174,75952,74762,73601,72468,71360,70276,69213
"Z(0, 1, 0, 1, 1, 2)",126324,89315,89544,89738,89898,90029,90129,90195,90234,90244,90227,90184,90116,90024,89906
"Z(0, 1, 0, 1, 2, 0)",126324,92741,93394,93971,94475,94913,95626,96267,96834,97328,97757,98123,98429,98680,98876
"Z(0, 1, 0, 1, 2, 1)",126324,88974,89846,90401,90701,90791,90704,90464,90098,89619,89046,88389,87661,86870,86024
"Z(0, 1, 0, 1, 2, 2)",126324,104426,105092,105655,106122,106500,107079,107732,108280,108727,109084,109843,110570,111184,111692
"Z(0, 1, 0, 1, 3, 0)",126324,118594,119328,120059,120878,121640,122346,122993,123590,124135,124634,125251,125829,126361,126845
"Z(0, 1, 0, 1, 3, 1)",126324,92964,93541,93988,94967,95835,96545,97114,97560,97892,98123,98263,98317,98295,98199
"Z(0, 1, 0, 1, 3, 2)",126324,167719,168809,169822,170762,171753,172748,173669,174527,175321,176092,177007,177860,178654,179388
"Z(0, 1, 1, 0, 0, 0)",126324,622383,633201,643908,654508,665022,675444,685755,695989,706132,716202,726197,736120,745981,755760
"Z(0, 1, 1, 0, 0, 1)",126324,89427,90668,91526,92070,92356,92422,92299,92018,91600,91065,90430,89941,89624,89243
