,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 1, 2)",2375,2302,2235,2171,2111,2055,2003,1953,1905,1861,1818,1778,1739,1703
"U(1, 2, 2, 0)",154,150,147,143,140,137,135,132,130,128,126,124,122,120
"U(1, 2, 2, 1)",405,394,384,375,366,358,350,342,336,329,323,317,312,307
"U(1, 2, 2, 2)",1491,1443,1398,1356,1316,1279,1244,1211,1180,1150,1123,1096,1071,1047
"U(1, 2, 3, 0)",461,459,452,442,433,425,417,410,403,396,390,384,378,373
"U(1, 2, 3, 1)",623,609,596,583,571,560,550,540,531,523,515,507,499,492
"U(1, 2, 3, 2)",6450,6308,6170,6037,5915,5803,5700,5605,5505,5410,5322,5240,5165,5095
"U(2, 0, 0, 0)",316,309,302,297,291,285,280,275,270,266,263,258,253,250
"U(2, 0, 0, 1)",88,86,84,82,80,79,77,76,74,73,72,71,70,69
"U(2, 0, 0, 2)",2819,2729,2645,2567,2493,2423,2357,2295,2236,2180,2127,2076,2027,1981
"U(2, 0, 1, 0)",52,51,50,49,48,47,46,45,44,44,43,42,42,41
"U(2, 0, 1, 1)",85,83,81,79,78,76,75,73,72,71,70,69,68,67
"U(2, 0, 1, 2)",1375,1326,1280,1237,1196,1158,1122,1088,1056,1026,997,970,944,919
"U(2, 0, 2, 0)",36,34,33,32,31,30,29,28,27,26,25,25,24,23
"U(2, 0, 2, 1)",21,20,19,19,18,17,17,16,16,16,15,15,14,14
"U(2, 0, 2, 2)",201,192,184,176,169,162,156,150,144,139,134,130,125,121
"U(2, 0, 3, 0)",20,20,19,19,18,18,18,17,17,17,17,16,16,16
"U(2, 0, 3, 1)",15,14,13,13,12,12,11,10,10,10,9,9,8,8
"U(2, 0, 3, 2)",333,320,307,296,285,274,265,256,247,239,231,224,217,211
"U(2, 1, 0, 0)",266,260,254,249,244,239,235,231,227,223,220,216,213,210
"U(2, 1, 0, 1)",247,239,232,225,219,213,207,202,197,192,188,184,180,176
"U(2, 1, 0, 2)",3791,3661,3538,3423,3315,3214,3118,3028,2942,2860,2783,2709,2639,2572
"U(2, 1, 1, 0)",137,134,131,128,126,124,121,119,117,115,113,112,110,108
"U(2, 1, 1, 1)",874,872,869,855,839,820,803,787,772,757,744,731,718,707
"U(2, 1, 1, 2)",8618,8355,8108,7874,7656,7450,7255,7071,6895,6729,6570,6419,6274,6137
"U(2, 1, 2, 0)",114,110,106,102,99,96,93,90,88,85,83,81,79,77
"U(2, 1, 2, 1)",537,523,510,498,487,476,466,456,447,439,431,423,416,409
"U(2, 1, 2, 2)",3842,3728,3621,3521,3426,3337,3254,3174,3098,3027,2958,2893,2831,2771
"U(2, 1, 3, 0)",189,183,177,172,168,163,159,155,151,148,145,142,139,136
"U(2, 1, 3, 1)",695,674,655,637,620,604,589,575,562,549,537,525,514,504
"U(2, 1, 3, 2)",4831,4692,4561,4439,4324,4216,4115,4019,3929,3843,3762,3684,3611,3541
"U(2, 2, 0, 0)",56,55,53,52,50,49,48,47,46,45,44,43,42,41
"U(2, 2, 0, 1)",34,33,32,31,30,29,29,28,27,26,26,25,24,24
"U(2, 2, 0, 2)",389,375,362,349,337,326,316,306,297,288,280,272,265,258
"U(2, 2, 1, 0)",8,8,7,7,7,7,6,6,6,6,6,5,5,5
"U(2, 2, 1, 1)",152,148,144,140,137,134,131,128,125,123,120,118,116,114
"U(2, 2, 1, 2)",1174,1138,1105,1073,1044,1016,990,965,941,919,898,877,858,839
"U(2, 2, 2, 0)",11,11,10,10,9,9,8,8,8,7,7,7,7,6
"U(2, 2, 2, 1)",11,10,10,9,9,9,8,8,8,8,7,7,7,7
"U(2, 2, 2, 2)",47,45,44,42,40,39,37,36,35,34,33,32,31,30
"U(2, 2, 3, 0)",19,19,18,17,17,16,16,15,15,15,14,14,13,13
"U(2, 2, 3, 1)",14,14,13,13,12,12,12,11,11,11,10,10,10,10
"U(2, 2, 3, 2)",295,286,277,269,262,255,248,242,236,231,226,221,216,211
"Z(0, 1, 0, 1, 0, 0)",6530,6369,6219,6078,5947,5825,5710,5601,5498,5401,5310,5222,5139,5061
"Z(0, 1, 0, 1, 0, 1)",2559,2447,2343,2246,2155,2070,1991,1917,1847,1781,1719,1660,1604,1552
"Z(0, 1, 0, 1, 0, 2)",10674,10284,9918,9573,9250,8946,8660,8388,8131,7886,7655,7433,7222,7022
"Z(0, 1, 0, 1, 1, 0)",4335,4188,4050,3921,3801,3689,3584,3485,3391,3303,3220,3142,3067,2997
"Z(0, 1, 0, 1, 1, 1)",3282,3134,2996,2867,2747,2634,2528,2427,2333,2244,2159,2079,2004,1932
"Z(0, 1, 0, 1, 1, 2)",22713,21977,21284,20632,20020,19443,18897,18380,17887,17420,16975,16549,16142,15755
"Z(0, 1, 0, 1, 2, 0)",3511,3361,3222,3092,2970,2856,2749,2649,2554,2464,2380,2300,2224,2152
"Z(0, 1, 0, 1, 2, 1)",3391,3236,3091,2956,2829,2710,2598,2493,2393,2299,2210,2126,2046,1970
"Z(0, 1, 0, 1, 2, 2)",28038,27177,26367,25605,24889,24214,23577,22972,22396,21851,21331,20834,20358,19906
"Z(0, 1, 0, 1, 3, 0)",5831,5588,5360,5146,4945,4757,4580,4412,4254,4104,3961,3826,3697,3575
"Z(0, 1, 0, 1, 3, 1)",6851,6564,6295,6042,5806,5583,5373,5175,4987,4809,4641,4480,4327,4182
"Z(0, 1, 0, 1, 3, 2)",37811,38529,39137,39656,40107,40499,40841,41137,41393,41619,41816,41985,42129,42261
"Z(0, 1, 1, 0, 0, 0)",14342,14019,13720,13432,13160,12907,12673,12455,12244,12036,11842,11659,11488,11329
"Z(0, 1, 1, 0, 0, 1)",3175,3055,2942,2838,2740,2649,2564,2484,2409,2338,2271,2208,2148,2092
"Z(0, 1, 1, 0, 0, 2)",12068,11650,11259,10890,10544,10219,9912,9621,9345,9084,8835,8598,8372,8157
"Z(0, 1, 1, 0, 1, 0)",9812,9572,9349,9141,8947,8765,8596,8436,8285,8144,8010,7883,7763,7650
"Z(0, 1, 1, 0, 1, 1)",3618,3467,3325,3193,3069,2953,2844,2742,2645,2554,2467,2386,2308,2235
"Z(0, 1, 1, 0, 1, 2)",22623,21902,21225,20587,19988,19423,18890,18384,17903,17446,17011,16596,16198,15820
