,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",122542,179303,180200,181066,181992,182870,183692,184458,185183,185919,186728,187493,188218,188908,189560
"U(1, 1, 1, 2)",122542,86335,85656,84937,84180,83392,82569,81716,80841,79945,79031,78101,77157,76205,75244
"U(1, 1, 2, 0)",122542,124767,125305,125769,126471,127125,127695,128182,128600,129148,129852,130476,131023,131499,131904
"U(1, 1, 2, 1)",122542,277930,279324,280773,282212,283585,284880,286096,287259,288363,289516,290668,291767,292822,293828
"U(1, 1, 2, 2)",122542,90947,91295,91779,92466,93059,93558,93967,94295,94546,94723,94830,94872,94855,94780
"U(1, 1, 3, 0)",122542,180478,181436,182328,183151,183913,184813,185655,186440,187166,187834,188447,189281,190069,190801
"U(1, 1, 3, 1)",122542,911480,921844,932075,942167,952143,961960,971610,981173,990635,999995,1009262,1018442,1027567,1036610
"U(1, 1, 3, 2)",122542,139517,140234,140912,141617,142336,143012,143643,144245,144814,145353,145864,146420,146973,147498
"U(1, 2, 0, 0)",122542,82830,80580,78384,76241,74153,72115,70126,68191,66309,64477,62696,60964,59282,57648
"U(1, 2, 0, 1)",122542,83942,82138,80372,78644,76958,75309,73699,72132,70606,69122,67678,66274,64911,63585
"U(1, 2, 0, 2)",122542,79704,75902,72285,68844,65573,62461,59502,56692,54024,51491,49087,46807,44644,42593
"U(1, 2, 1, 0)",122542,86588,86037,85434,84783,84089,83353,82576,81770,80935,80074,79190,78286,77367,76432
"U(1, 2, 1, 1)",122542,89466,90109,90649,91094,91451,91724,91918,92045,92108,92112,92062,91962,91818,91631
"U(1, 2, 1, 2)",122542,81704,78998,76361,73794,71297,68867,66504,64213,61991,59838,57753,55735,53784,51898
"U(1, 2, 2, 0)",122542,97200,97863,98451,98890,99196,99752,100637,101351,101907,102319,102598,102758,102810,102759
"U(1, 2, 2, 1)",122542,99919,100455,100923,101328,101673,101998,102530,102992,103387,103720,104084,104672,105188,105634
"U(1, 2, 2, 2)",122542,84957,83931,82812,81613,80351,79034,77670,76275,74856,73418,71967,70510,69052,67595
"U(1, 2, 3, 0)",122542,104864,105313,105931,106591,107182,107701,108151,108543,108877,109167,109682,110134,110528,110863
"U(1, 2, 3, 1)",122542,108733,109330,109895,110428,110932,111403,111890,112402,112886,113344,113777,114186,114576,114953
"U(1, 2, 3, 2)",122542,86572,86331,85925,85378,84716,83951,83098,82176,81194,80163,79088,77980,76844,75685
"U(2, 0, 0, 0)",122542,86746,86140,85517,84878,84225,83557,82875,82186,81490,80789,80084,79377,78670,77962
"U(2, 0, 0, 1)",122542,88299,88259,88201,88122,88025,87906,87764,87606,87432,87241,87035,86813,86580,86333
"U(2, 0, 0, 2)",122542,91357,91886,92374,92821,93230,93599,94014,94488,94924,95323,95685,96015,96314,96582
"U(2, 0, 1, 0)",122542,84313,82718,81140,79580,78039,76516,75010,73528,72068,70631,69217,67827,66462,65121
"U(2, 0, 1, 1)",122542,85248,83914,82621,81367,80150,78964,77805,76679,75580,74509,73464,72443,71447,70474
"U(2, 0, 1, 2)",122542,87259,86856,86429,85980,85512,85021,84509,83983,83443,82889,82324,81747,81163,80570
"U(2, 0, 2, 0)",122542,81156,77907,74851,71964,69230,66629,64151,61790,59536,57382,55321,53348,51459,49648
"U(2, 0, 2, 1)",122542,82018,79207,76545,74014,71603,69298,67088,64973,62943,60993,59119,57315,55581,53909
"U(2, 0, 2, 2)",122542,82830,80504,78258,76088,73989,71955,69981,68070,66217,64421,62678,60987,59348,57756
"U(2, 0, 3, 0)",122542,81938,79132,76458,73906,71467,69130,66888,64741,62681,60704,58806,56981,55229,53545
"U(2, 0, 3, 1)",122542,82732,80325,78014,75792,73653,71588,69593,67669,65810,64013,62276,60596,58972,57399
"U(2, 0, 3, 2)",122542,81678,78740,75950,73292,70756,68330,66005,63780,61646,59597,57631,55741,53926,52179
"U(2, 1, 0, 0)",122542,85834,84913,83971,83008,82030,81036,80026,79010,77988,76962,75933,74904,73877,72852
"U(2, 1, 0, 1)",122542,97461,98054,98631,99159,99641,100075,100462,100809,101188,101638,102046,102413,102743,103036
"U(2, 1, 0, 2)",122542,79078,74772,70738,66958,63418,60100,56990,54078,51351,48797,46405,44164,42066,40100
"U(2, 1, 1, 0)",122542,88487,88653,88757,88802,88791,88724,88602,88436,88225,87973,87682,87354,86995,86603
"U(2, 1, 1, 1)",122542,104394,104941,105459,105949,106417,106935,107422,107886,108326,108743,109137,109534,109960,110365
"U(2, 1, 1, 2)",122542,79003,74707,70671,66879,63318,59972,56829,53880,51112,48515,46079,43793,41650,39639
"U(2, 1, 2, 0)",122542,83675,81512,79480,77562,75749,74025,72382,70816,69321,67890,66519,65203,63941,62726
"U(2, 1, 2, 1)",122542,85570,84394,83239,82110,81011,79939,78893,77881,76900,75949,75028,74137,73277,72444
