,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",215039,625056,646781,668142,689063,709311,729008,748151,766755,784821,802274,819061,835279,850969,866000
"U(1, 1, 1, 2)",215039,334276,326655,319528,312832,306436,300378,294634,289188,284018,279078,274334,269804,265484,261318
"U(1, 1, 2, 0)",215039,544404,543427,542685,542099,541475,534059,526628,519558,511441,502368,493617,485221,477176,469382
"U(1, 1, 2, 1)",215039,633186,657772,681890,705446,728197,750273,771682,792453,812601,832065,850805,868932,886506,903397
"U(1, 1, 2, 2)",215039,574417,582435,590039,597147,603565,609418,614730,619540,618851,612320,605912,596220,586521,577126
"U(1, 1, 3, 0)",215039,590889,601509,612142,622722,633040,643211,653232,663115,672857,682388,691663,700758,709702,718378
"U(1, 1, 3, 1)",215039,727360,778608,829815,880754,931042,980785,1029961,1078585,1126664,1174098,1220814,1266957,1312601,1357543
"U(1, 1, 3, 2)",215039,626877,649584,671847,693584,714569,734945,754735,773981,792709,810867,828425,845498,862146,878248
"U(1, 2, 0, 0)",215039,66104,63960,61949,60056,58252,56542,54920,53380,51917,50519,49180,47901,46680,45506
"U(1, 2, 0, 1)",215039,245507,240765,236372,232283,228402,224759,221338,218126,215109,212253,209534,206963,204542,202226
"U(1, 2, 0, 2)",215039,86269,83817,81518,79352,77284,75322,73458,71687,70002,68390,66842,65361,63945,62580
"U(1, 2, 1, 0)",215039,150395,145910,141696,137719,133918,130307,126871,123600,120484,117499,114628,111878,109245,106704
"U(1, 2, 1, 1)",215039,493302,483583,474531,466056,457970,450332,443112,436289,429834,423681,417780,412162,406824,401683
"U(1, 2, 1, 2)",215039,201880,196327,191111,186190,181484,177012,172757,168707,164847,161149,157590,154178,150912,147756
"U(1, 2, 2, 0)",215039,183165,178117,173372,168891,164602,160522,156636,152933,149401,146012,142747,139615,136611,133706
"U(1, 2, 2, 1)",215039,537274,537367,536964,531216,524448,515893,507736,500008,492678,485669,478929,472489,466351,460418
"U(1, 2, 2, 2)",215039,226070,220317,214916,209822,204946,200312,195901,191702,187699,183860,180163,176617,173219,169932
"U(1, 2, 3, 0)",215039,430822,421978,413704,405919,398461,391380,384650,378253,372164,366324,360692,355292,350124,345113
"U(1, 2, 3, 1)",215039,552547,553931,554190,553733,552571,550966,549025,546838,544463,541895,539137,536280,533371,530342
"U(1, 2, 3, 2)",215039,413436,406383,399837,393727,387896,382398,377209,372315,367693,363288,359060,355036,351217,347530
"U(2, 0, 0, 0)",215039,203850,200480,197386,194531,191776,189038,186485,184108,181893,179811,177843,175971,174077,172276
"U(2, 0, 0, 1)",215039,141077,138729,136590,134631,132799,130894,129077,127399,125850,124409,123060,121811,120501,119227
"U(2, 0, 0, 2)",215039,255746,249518,243674,238163,232885,227867,223093,218547,214214,210057,206051,202209,198527,194963
"U(2, 0, 1, 0)",215039,118126,116124,114289,112597,111003,109521,108114,106715,105413,104193,103040,101963,100919,99830
"U(2, 0, 1, 1)",215039,87508,85742,84112,82601,81175,79843,78598,77437,76352,75332,74367,73462,72616,71813
"U(2, 0, 1, 2)",215039,84335,81699,79222,76887,74659,72543,70532,68620,66800,65058,63386,61786,60256,58781
"U(2, 0, 2, 0)",215039,87266,85330,83536,81863,80279,78791,77394,76081,74848,73682,72573,71525,70537,69594
"U(2, 0, 2, 1)",215039,42104,40802,39586,38445,37362,36340,35374,34462,33599,32778,31995,31251,30544,29868
"U(2, 0, 2, 2)",215039,20996,20228,19510,18835,18195,17590,17018,16476,15963,15475,15009,14565,14143,13739
"U(2, 0, 3, 0)",215039,88485,86647,84942,83351,81841,80420,79084,77827,76644,75522,74452,73439,72482,71566
"U(2, 0, 3, 1)",215039,23750,23032,22363,21736,21141,20580,20051,19551,19079,18631,18203,17797,17411,17042
"U(2, 0, 3, 2)",215039,45078,43967,42927,41950,41017,40133,39294,38498,37741,37017,36322,35656,35021,34407
"U(2, 1, 0, 0)",215039,43874,42418,41054,39771,38551,37396,36301,35263,34278,33339,32441,31583,30766,29982
"U(2, 1, 0, 1)",215039,204994,201474,198230,195227,192385,189730,187249,184934,182772,180633,178529,176550,174693,172924
"U(2, 1, 0, 2)",215039,28188,27473,26805,26177,25578,25011,24473,23964,23480,23018,22574,22151,21746,21357
"U(2, 1, 1, 0)",215039,100652,97541,94619,91865,89236,86741,84371,82117,79972,77920,75950,74065,72263,70526
"U(2, 1, 1, 1)",215039,393959,386551,379670,373243,367121,361353,355914,350787,345952,341354,336955,332777,328822,325020
"U(2, 1, 1, 2)",215039,35555,34626,33757,32940,32161,31424,30725,30061,29432,28831,28254,27703,27177,26671
