,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 2, 1)",318,317,316,315,313,312,310,308,307,305,303,301,299,298
"U(1, 2, 2, 2)",971,948,925,902,880,858,836,815,794,773,753,733,714,695
"U(1, 2, 3, 0)",148,148,147,147,146,145,144,143,143,142,141,140,139,138
"U(1, 2, 3, 1)",415,415,415,415,415,415,415,415,414,414,414,413,413,412
"U(1, 2, 3, 2)",1165,1144,1123,1102,1081,1060,1039,1019,998,978,958,938,919,899
"U(2, 0, 0, 0)",97,96,95,94,93,93,92,91,90,89,88,88,87,86
"U(2, 0, 0, 1)",117,116,115,114,114,113,112,111,111,110,109,108,108,107
"U(2, 0, 0, 2)",1607,1600,1593,1586,1578,1571,1563,1555,1547,1539,1531,1523,1515,1506
"U(2, 0, 1, 0)",61,60,58,57,56,55,53,52,51,50,49,48,47,46
"U(2, 0, 1, 1)",78,77,76,75,74,73,71,70,69,68,67,66,65,64
"U(2, 0, 1, 2)",1057,1044,1031,1018,1005,992,980,967,955,943,931,919,907,895
"U(2, 0, 2, 0)",42,40,39,37,36,34,33,32,31,29,28,27,26,25
"U(2, 0, 2, 1)",47,46,44,43,41,40,39,37,36,35,34,33,32,31
"U(2, 0, 2, 2)",579,561,544,527,511,496,481,467,453,439,426,414,401,390
"U(2, 0, 3, 0)",49,47,45,44,43,41,40,39,38,37,36,34,34,33
"U(2, 0, 3, 1)",52,51,49,48,47,45,44,43,42,41,40,39,38,37
"U(2, 0, 3, 2)",521,502,484,467,451,435,420,406,392,379,367,354,343,332
"U(2, 1, 0, 0)",73,72,70,69,68,67,65,64,63,62,61,60,59,58
"U(2, 1, 0, 1)",329,328,327,325,324,323,321,320,318,317,315,314,312,311
"U(2, 1, 0, 2)",665,635,607,580,556,533,511,491,472,455,438,422,408,394
"U(2, 1, 1, 0)",96,95,94,93,92,91,89,88,87,86,85,84,83,82
"U(2, 1, 1, 1)",399,399,399,398,398,397,397,397,396,396,395,394,394,393
"U(2, 1, 1, 2)",640,610,582,555,530,507,485,465,446,428,411,395,381,367
"U(2, 1, 2, 0)",66,64,63,62,60,59,58,57,56,55,54,53,52,51
"U(2, 1, 2, 1)",213,210,208,206,204,202,200,198,197,195,193,191,190,188
"U(2, 1, 2, 2)",566,535,507,480,455,431,409,388,368,349,332,315,300,285
"U(2, 1, 3, 0)",68,67,65,64,63,62,60,59,58,57,56,55,54,53
"U(2, 1, 3, 1)",250,249,247,245,244,242,241,239,237,236,234,233,231,230
"U(2, 1, 3, 2)",635,606,578,552,528,505,483,462,443,424,407,390,375,360
"U(2, 2, 0, 0)",69,68,67,65,64,63,62,60,59,58,57,56,55,54
"U(2, 2, 0, 1)",83,82,81,80,79,78,76,75,74,73,72,71,70,69
"U(2, 2, 0, 2)",1650,1643,1637,1630,1624,1617,1610,1603,1596,1589,1582,1575,1567,1560
"U(2, 2, 1, 0)",56,55,53,52,51,49,48,47,46,44,43,42,41,40
"U(2, 2, 1, 1)",75,73,72,71,70,69,67,66,65,64,63,62,61,60
"U(2, 2, 1, 2)",1091,1078,1065,1053,1040,1028,1016,1004,992,980,968,957,945,934
"U(2, 2, 2, 0)",41,39,38,36,35,33,32,31,30,28,27,26,25,24
"U(2, 2, 2, 1)",45,44,42,40,39,38,36,35,34,33,32,31,30,29
"U(2, 2, 2, 2)",545,526,508,492,475,460,445,430,416,403,390,377,365,354
"U(2, 2, 3, 0)",46,45,43,42,40,39,38,36,35,34,33,32,31,30
"U(2, 2, 3, 1)",48,46,45,43,42,41,39,38,37,36,35,34,33,32
"U(2, 2, 3, 2)",477,457,439,421,405,389,374,359,345,332,320,307,296,285
"Z(0, 1, 0, 1, 0, 0)",4824,4798,4774,4751,4730,4710,4692,4675,4660,4646,4634,4623,4614,4606
"Z(0, 1, 0, 1, 0, 1)",5863,5836,5809,5781,5752,5723,5693,5664,5634,5604,5573,5543,5513,5483
"Z(0, 1, 0, 1, 0, 2)",4013,3961,3910,3860,3811,3763,3715,3669,3623,3578,3534,3491,3449,3407
"Z(0, 1, 0, 1, 1, 0)",4638,4600,4562,4525,4489,4453,4417,4382,4348,4314,4281,4248,4216,4185
"Z(0, 1, 0, 1, 1, 1)",7329,7310,7290,7270,7249,7227,7205,7182,7159,7135,7111,7087,7062,7036
"Z(0, 1, 0, 1, 1, 2)",6241,6209,6177,6144,6110,6076,6042,6007,5972,5936,5900,5864,5827,5790
"Z(0, 1, 0, 1, 2, 0)",4151,4100,4050,4000,3951,3903,3855,3808,3761,3715,3670,3625,3581,3538
"Z(0, 1, 0, 1, 2, 1)",7660,7645,7628,7610,7592,7572,7551,7530,7508,7485,7461,7437,7411,7386
"Z(0, 1, 0, 1, 2, 2)",7685,7667,7647,7627,7605,7583,7560,7536,7511,7485,7459,7432,7404,7375
"Z(0, 1, 0, 1, 3, 0)",5767,5728,5689,5650,5610,5569,5528,5486,5444,5402,5359,5316,5273,5230
"Z(0, 1, 0, 1, 3, 1)",13350,13410,13467,13523,13576,13628,13678,13726,13773,13817,13860,13902,13942,13980
"Z(0, 1, 0, 1, 3, 2)",14815,14888,14959,15028,15095,15159,15221,15281,15338,15394,15447,15498,15548,15595
"Z(0, 1, 1, 0, 0, 0)",9213,9257,9301,9345,9391,9437,9484,9531,9580,9629,9679,9730,9782,9835
"Z(0, 1, 1, 0, 0, 1)",6284,6267,6249,6230,6211,6192,6172,6152,6132,6112,6092,6073,6053,6033
"Z(0, 1, 1, 0, 0, 2)",3371,3313,3255,3199,3144,3090,3038,2987,2936,2888,2840,2793,2748,2703
"Z(0, 1, 1, 0, 1, 0)",9364,9394,9424,9454,9483,9512,9541,9569,9597,9625,9653,9680,9708,9735
"Z(0, 1, 1, 0, 1, 1)",7826,7817,7807,7797,7786,7775,7763,7751,7739,7726,7713,7699,7686,7671
"Z(0, 1, 1, 0, 1, 2)",5135,5093,5050,5007,4964,4921,4877,4834,4791,4748,4705,4662,4619,4576
"Z(0, 1, 1, 0, 2, 0)",8097,8095,8093,8090,8086,8082,8078,8073,8068,8063,8057,8050,8044,8037
"Z(0, 1, 1, 0, 2, 1)",8132,8125,8117,8108,8099,8088,8076,8064,8051,8037,8023,8007,7992,7975
"Z(0, 1, 1, 0, 2, 2)",6248,6215,6181,6147,6113,6078,6042,6006,5970,5933,5896,5859,5821,5783
"Z(0, 1, 1, 0, 3, 0)",12472,12514,12554,12592,12628,12662,12695,12725,12755,12782,12808,12832,12854,12875
