,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",215039,711191,716798,722314,727738,733067,738300,743437,748479,753425,758276,763034,767699,772273,776758
"U(1, 1, 1, 2)",215039,216208,215395,214555,213689,212798,211885,210951,209997,209024,208034,207027,206006,204970,203922
"U(1, 1, 2, 0)",215039,317761,317899,317983,318014,317992,317918,317792,317615,317388,317112,316789,316418,316003,315542
"U(1, 1, 2, 1)",215039,784955,791238,797406,803453,809378,815179,820856,826408,831837,837144,842330,847396,852345,857178
"U(1, 1, 2, 2)",215039,381501,382342,383075,383698,384212,384620,384925,385128,385235,385248,385171,385007,384761,384435
"U(1, 1, 3, 0)",215039,590084,593913,597665,601338,604932,608447,611881,615234,618507,621700,624812,627844,630796,633668
"U(1, 1, 3, 1)",215039,1961614,1987371,2013092,2038759,2064360,2089887,2115333,2140691,2165958,2191131,2216206,2241182,2266056,2290827
"U(1, 1, 3, 2)",215039,846211,854051,861792,869431,876965,884393,891715,898932,906043,913051,919956,926759,933462,940066
"U(1, 2, 0, 0)",215039,103945,102018,100118,98244,96399,94584,92799,91045,89322,87630,85968,84338,82739,81169
"U(1, 2, 0, 1)",215039,171265,170237,169163,168055,166921,165769,164604,163431,162253,161075,159897,158724,157555,156394
"U(1, 2, 0, 2)",215039,107067,105140,103258,101420,99624,97869,96154,94478,92840,91238,89673,88142,86645,85182
"U(1, 2, 1, 0)",215039,152157,150676,149175,147658,146127,144585,143036,141480,139921,138360,136799,135238,133680,132125
"U(1, 2, 1, 1)",215039,265755,265671,265516,265298,265022,264694,264318,263899,263439,262944,262415,261856,261270,260658
"U(1, 2, 1, 2)",215039,172638,171335,170013,168672,167314,165941,164555,163157,161749,160332,158908,157478,156042,154603
"U(1, 2, 2, 0)",215039,158569,157146,155715,154277,152836,151392,149949,148506,147065,145627,144193,142764,141341,139923
"U(1, 2, 2, 1)",215039,282828,282992,283079,283099,283057,282960,282814,282623,282390,282120,281815,281479,281113,280720
"U(1, 2, 2, 2)",215039,174693,173523,172311,171066,169796,168506,167199,165881,164554,163220,161881,160539,159196,157853
"U(1, 2, 3, 0)",215039,234996,234530,234031,233502,232946,232367,231765,231142,230502,229844,229171,228484,227783,227071
"U(1, 2, 3, 1)",215039,287693,288195,288605,288939,289208,289420,289584,289705,289789,289840,289862,289858,289832,289785
"U(1, 2, 3, 2)",215039,213153,212691,212189,211658,211105,210536,209954,209363,208766,208166,207564,206963,206362,205765
"U(2, 0, 0, 0)",215039,129736,128288,126894,125550,124256,123010,121811,120656,119545,118477,117450,116463,115515,114605
"U(2, 0, 0, 1)",215039,106202,104414,102717,101106,99572,98112,96721,95395,94129,92922,91771,90672,89623,88623
"U(2, 0, 0, 2)",215039,180663,179468,178271,177074,175875,174677,173478,172280,171082,169886,168690,167497,166305,165116
"U(2, 0, 1, 0)",215039,103898,102059,100284,98569,96914,95316,93772,92282,90842,89451,88107,86809,85556,84345
"U(2, 0, 1, 1)",215039,98613,96634,94723,92878,91094,89369,87700,86085,84521,83006,81539,80117,78738,77402
