,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 2, 1)",448,437,427,417,408,400,391,384,376,369,362,355,349,343
"U(1, 2, 2, 2)",314,302,291,280,270,260,252,243,235,227,220,213,207,200
"U(1, 2, 3, 0)",186,181,176,171,167,163,159,155,151,147,144,141,137,134
"U(1, 2, 3, 1)",796,793,787,777,766,754,742,731,721,711,702,693,684,676
"U(1, 2, 3, 2)",605,586,569,552,537,522,508,495,482,470,459,448,438,428
"U(2, 0, 0, 0)",139,136,134,132,130,128,126,125,123,122,120,119,117,116
"U(2, 0, 0, 1)",178,174,171,168,165,163,160,158,156,154,152,150,148,146
"U(2, 0, 0, 2)",2445,2389,2335,2285,2237,2191,2148,2106,2066,2028,1992,1957,1923,1890
"U(2, 0, 1, 0)",36,35,34,33,32,31,31,30,29,29,28,28,27,27
"U(2, 0, 1, 1)",76,74,73,71,69,68,66,65,64,63,61,60,59,58
"U(2, 0, 1, 2)",979,950,923,897,872,849,827,805,785,765,747,729,711,695
"U(2, 0, 2, 0)",9,9,9,8,8,8,8,7,7,7,7,7,6,6
"U(2, 0, 2, 1)",15,14,14,13,13,13,12,12,11,11,11,10,10,10
"U(2, 0, 2, 2)",161,154,148,142,136,131,126,121,117,112,108,104,101,97
"U(2, 0, 3, 0)",22,21,20,20,19,19,18,18,18,17,17,16,16,16
"U(2, 0, 3, 1)",25,25,24,23,23,22,22,21,21,20,20,19,19,18
"U(2, 0, 3, 2)",142,137,132,128,123,119,115,111,108,105,101,98,96,93
"U(2, 1, 0, 0)",49,47,46,44,43,42,41,40,39,38,37,36,35,34
"U(2, 1, 0, 1)",495,484,473,463,453,444,436,427,419,412,405,398,391,384
"U(2, 1, 0, 2)",331,323,315,308,301,294,288,282,277,271,266,261,257,252
"U(2, 1, 1, 0)",82,79,76,74,72,70,68,66,64,63,61,59,58,56
