,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 2, 2, 1)",447,437,428,419,411,404,398,392,386,381,376,371,367,363
"U(1, 2, 2, 2)",1462,1419,1380,1343,1308,1276,1246,1218,1192,1168,1144,1122,1101,1080
"U(1, 2, 3, 0)",87,85,83,82,80,79,77,76,75,74,73,72,71,70
"U(1, 2, 3, 1)",366,357,350,344,337,331,326,321,317,312,308,304,300,297
"U(1, 2, 3, 2)",935,914,895,878,862,847,833,821,809,798,787,777,768,759
"U(2, 0, 0, 0)",10,10,9,9,9,8,8,8,7,7,7,7,6,6
"U(2, 0, 0, 1)",29,28,28,27,27,26,26,26,25,25,25,24,24,24
"U(2, 0, 0, 2)",1460,1416,1375,1337,1302,1269,1238,1209,1181,1156,1131,1108,1086,1064
"U(2, 0, 1, 0)",6,6,6,5,5,5,5,5,4,4,4,4,4,4
"U(2, 0, 1, 1)",12,12,12,11,11,10,10,10,10,9,9,9,9,9
"U(2, 0, 1, 2)",481,462,445,430,415,401,388,376,364,354,343,334,324,315
"U(2, 0, 2, 0)",23,22,21,21,20,19,19,18,18,17,17,17,16,16
"U(2, 0, 2, 1)",12,12,11,11,10,10,10,9,9,9,9,8,8,8
"U(2, 0, 2, 2)",92,88,85,81,78,75,73,70,68,66,64,62,60,58
"U(2, 0, 3, 0)",35,34,33,32,31,30,30,29,28,28,27,26,26,25
"U(2, 0, 3, 1)",6,6,6,5,5,5,5,5,4,4,4,4,4,4
"U(2, 0, 3, 2)",176,170,165,160,156,152,148,145,142,139,136,133,131,128
"U(2, 1, 0, 0)",17,16,15,15,14,14,13,13,12,12,11,11,11,10
"U(2, 1, 0, 1)",326,318,312,306,300,295,290,286,282,278,274,271,268,265
"U(2, 1, 0, 2)",1394,1348,1305,1265,1228,1193,1161,1130,1102,1075,1050,1025,1002,980
"U(2, 1, 1, 0)",22,21,20,20,19,18,18,17,16,16,15,15,14,14
"U(2, 1, 1, 1)",456,445,434,424,415,407,399,392,386,379,374,368,363,358
"U(2, 1, 1, 2)",2612,2530,2455,2384,2319,2257,2200,2146,2095,2047,2002,1958,1917,1877
"U(2, 1, 2, 0)",68,66,64,62,60,58,57,55,54,52,51,50,49,48
"U(2, 1, 2, 1)",593,607,618,628,635,642,647,643,635,624,614,604,594,585
"U(2, 1, 2, 2)",1426,1383,1343,1307,1272,1240,1210,1182,1156,1131,1107,1084,1063,1042
"U(2, 1, 3, 0)",169,171,174,176,178,180,182,184,185,187,189,190,192,193
"U(2, 1, 3, 1)",623,640,655,669,680,691,701,709,718,725,732,738,744,749
"U(2, 1, 3, 2)",2147,2091,2040,1992,1948,1908,1870,1835,1803,1772,1744,1717,1691,1666
"U(2, 2, 0, 0)",7,7,6,6,6,6,5,5,5,5,5,4,4,4
"U(2, 2, 0, 1)",17,17,17,16,16,15,15,15,14,14,14,14,13,13
"U(2, 2, 0, 2)",112,108,104,100,97,93,91,88,85,83,81,78,76,74
"U(2, 2, 1, 0)",4,4,4,4,4,4,3,3,3,3,3,3,3,3
"U(2, 2, 1, 1)",70,68,66,64,63,61,60,59,58,57,56,55,54,53
"U(2, 2, 1, 2)",77,75,72,70,68,66,64,63,61,60,59,57,56,55
"U(2, 2, 2, 0)",24,23,23,22,21,21,20,20,19,19,18,18,18,17
"U(2, 2, 2, 1)",40,39,38,37,36,35,34,34,33,33,32,31,31,31
"U(2, 2, 2, 2)",46,45,43,42,41,40,39,38,37,36,35,35,34,33
"U(2, 2, 3, 0)",46,45,44,43,43,42,41,40,40,39,39,38,38,37
"U(2, 2, 3, 1)",18,17,17,17,16,16,16,16,15,15,15,15,14,14
"U(2, 2, 3, 2)",20,19,19,18,18,17,17,16,16,16,15,15,15,14
"Z(0, 1, 0, 1, 0, 0)",3670,3548,3435,3332,3235,3145,3061,2982,2909,2840,2775,2713,2654,2599
"Z(0, 1, 0, 1, 0, 1)",1602,1531,1466,1405,1348,1295,1246,1200,1156,1116,1077,1041,1006,974
"Z(0, 1, 0, 1, 0, 2)",3504,3372,3250,3137,3031,2932,2839,2752,2670,2592,2519,2448,2381,2317
"Z(0, 1, 0, 1, 1, 0)",6286,6063,5856,5665,5485,5318,5161,5014,4875,4746,4622,4504,4391,4284
