,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",221677,704487,712192,719695,727038,734266,741384,748416,755377,762231,769019,775763,782452,789087,795668
"U(1, 1, 1, 2)",221677,213089,214568,216189,217841,219383,220820,222159,223408,224557,225731,227069,228318,229479,230555
"U(1, 1, 2, 0)",221677,870119,884210,898139,911955,925710,939404,953065,966709,980286,993844,1007410,1020967,1034512,1048042
"U(1, 1, 2, 1)",221677,928490,937380,945982,954356,962564,970610,978531,986347,994013,1001582,1009087,1016515,1023868,1031147
"U(1, 1, 2, 2)",221677,457100,460612,463899,466991,469919,472914,476032,479009,481825,484507,487071,489514,491946,494566
"U(1, 1, 3, 0)",221677,1313206,1331181,1348872,1366358,1383724,1400977,1418163,1435312,1452353,1469366,1486394,1503417,1520436,1537451
"U(1, 1, 3, 1)",221677,2684872,2724799,2764061,2802812,2841222,2879299,2917132,2954784,2992101,3029244,3066300,3103225,3140020,3176681
"U(1, 1, 3, 2)",221677,1410536,1429232,1447517,1465474,1483192,1500676,1517973,1535115,1552024,1568782,1585435,1601960,1618357,1634625
"U(1, 2, 0, 0)",221677,157127,157090,156805,156318,155665,154873,153966,152965,151875,150719,149511,148258,146969,145652
"U(1, 2, 0, 1)",221677,153416,151727,149831,147807,145709,143567,141407,139244,137081,134931,132805,130703,128628,126581
"U(1, 2, 0, 2)",221677,146541,141205,136074,131149,126425,121893,117547,113380,109378,105538,101857,98324,94932,91676
"U(1, 2, 1, 0)",221677,195861,197029,197949,198648,199812,201327,202564,203552,204478,206564,208326,209789,210978,211915
"U(1, 2, 1, 1)",221677,174867,176187,177389,178489,179502,180441,181658,182778,183799,184735,185855,187070,188182,189200
"U(1, 2, 1, 2)",221677,154196,152372,150538,148705,146884,145075,143283,141513,139757,138024,136316,134633,132974,131339
"U(1, 2, 2, 0)",221677,157648,157486,157168,156730,156202,155601,154940,154233,153476,152682,151860,151010,150134,149233
"U(1, 2, 2, 1)",221677,173230,174915,176247,177284,178669,180719,182407,183783,184872,185714,186341,186770,187020,187109
"U(1, 2, 2, 2)",221677,155420,155021,154242,153178,151898,150445,148857,147161,145370,143507,141590,139628,137629,135603
"U(1, 2, 3, 0)",221677,186411,188069,189579,190960,192233,193403,194484,195485,196401,197498,198632,199674,200630,201690
"U(1, 2, 3, 1)",221677,159890,160812,161469,161932,162248,162446,162550,162576,162527,162420,162267,162071,161837,161569
"U(1, 2, 3, 2)",221677,161297,160303,161279,162265,164030,166005,167963,169908,171832,173742,175644,177536,179417,181287
"U(2, 0, 0, 0)",221677,248968,252357,255660,258891,262066,265185,268255,271283,274253,277181,280074,282927,285740,288513
"U(2, 0, 0, 1)",221677,151827,148860,145975,143170,140446,137796,135217,132706,130253,127860,125528,123252,121027,118853
"U(2, 0, 0, 2)",221677,160634,161459,162188,162831,163401,163901,164336,164713,165025,165282,165490,165648,165758,165821
"U(2, 0, 1, 0)",221677,145697,139614,133907,128535,123466,118668,114119,109800,105686,101769,98037,94476,91077,87829
"U(2, 0, 1, 1)",221677,152474,149928,147400,144900,142434,140004,137613,135262,132945,130666,128430,126233,124074,121952
"U(2, 0, 1, 2)",221677,156343,155473,154542,153563,152548,151499,150424,149328,148204,147062,145907,144739,143559,142367
"U(2, 0, 2, 0)",221677,152194,149627,147052,144481,141925,139387,136872,134384,131917,129479,127073,124699,122357,120045
"U(2, 0, 2, 1)",221677,147354,142106,137161,132484,128050,123831,119809,115970,112292,108768,105391,102148,99031,96033
"U(2, 0, 2, 2)",221677,146812,141378,136235,131356,126720,122303,118089,114064,110207,106513,102973,99577,96315,93181
"U(2, 0, 3, 0)",221677,147178,142131,137280,132618,128141,123836,119696,115716,111879,108184,104627,101201,97898,94712
"U(2, 0, 3, 1)",221677,149073,144966,140978,137108,133356,129717,126188,122765,119436,116205,113069,110022,107062,104184
"U(2, 0, 3, 2)",221677,149389,145474,141651,137924,134298,130769,127337,124001,120751,117591,114520,111535,108631,105806
