,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",126324,411563,414872,418124,421321,424464,427555,430593,433579,436514,439398,442232,445016,447752,450439
"U(1, 1, 1, 2)",126324,156640,156465,156276,156074,155858,155629,155386,155130,154861,154579,154285,153977,153658,153326
"U(1, 1, 2, 0)",126324,246806,247562,248275,248948,249579,250170,250722,251233,251705,252139,252534,252890,253209,253490
"U(1, 1, 2, 1)",126324,460608,464482,468242,471888,475423,478850,482174,485399,488529,491568,494519,497387,500174,502884
"U(1, 1, 2, 2)",126324,289475,290740,291891,292930,293858,294680,295399,296020,296547,296984,297335,297605,297796,297914
"U(1, 1, 3, 0)",126324,398844,402137,405382,408578,411728,414830,417886,420897,423862,426782,429658,432489,435278,438023
"U(1, 1, 3, 1)",126324,1146053,1161238,1176395,1191513,1206586,1221610,1236581,1251497,1266357,1281159,1295903,1310589,1325216,1339783
"U(1, 1, 3, 2)",126324,709123,716794,724305,731665,738884,745968,752924,759757,766473,773075,779569,785956,792241,798428
"U(1, 2, 0, 0)",126324,57330,56140,54977,53843,52736,51658,50608,49584,48587,47616,46669,45747,44848,43972
"U(1, 2, 0, 1)",126324,73330,72489,71629,70764,69903,69053,68217,67397,66595,65811,65047,64302,63578,62873
"U(1, 2, 0, 2)",126324,40514,39145,37832,36573,35365,34206,33095,32029,31006,30024,29082,28178,27309,26475
"U(1, 2, 1, 0)",126324,84765,83933,83065,82171,81257,80327,79385,78436,77481,76523,75563,74604,73647,72692
"U(1, 2, 1, 1)",126324,156273,156282,156251,156182,156079,155945,155783,155595,155383,155150,154897,154627,154341,154040
"U(1, 2, 1, 2)",126324,73620,72611,71606,70604,69608,68617,67632,66655,65685,64723,63770,62825,61890,60966
"U(1, 2, 2, 0)",126324,88170,87285,86428,85596,84788,84002,83236,82490,81762,81052,80358,79679,79014,78364
"U(1, 2, 2, 1)",126324,121918,121512,121134,120785,120465,120170,119899,119651,119424,119215,119024,118849,118689,118542
"U(1, 2, 2, 2)",126324,75138,74211,73280,72350,71426,70511,69608,68718,67841,66979,66132,65300,64483,63682
"U(1, 2, 3, 0)",126324,97751,97095,96461,95849,95256,94684,94131,93596,93078,92577,92092,91623,91169,90730
"U(1, 2, 3, 1)",126324,111306,111063,110819,110580,110352,110136,109935,109751,109584,109434,109303,109191,109097,109021
"U(1, 2, 3, 2)",126324,45667,44241,42939,41744,40640,39618,38668,37784,36959,36189,35469,34795,34164,33573
"U(2, 0, 0, 0)",126324,49766,48487,47248,46047,44882,43751,42654,41589,40554,39549,38572,37623,36700,35803
"U(2, 0, 0, 1)",126324,53004,51769,50611,49521,48492,47518,46595,45719,44886,44093,43339,42620,41934,41281
"U(2, 0, 0, 2)",126324,105615,104897,104178,103458,102738,102016,101294,100571,99848,99126,98403,97681,96959,96239
"U(2, 0, 1, 0)",126324,40119,38705,37360,36079,34858,33692,32577,31511,30490,29511,28573,27674,26810,25981
"U(2, 0, 1, 1)",126324,49715,48432,47195,46002,44849,43736,42659,41618,40609,39633,38688,37772,36884,36023
"U(2, 0, 1, 2)",126324,66189,65072,63974,62894,61832,60787,59759,58749,57755,56778,55818,54873,53945,53032
"U(2, 0, 2, 0)",126324,62338,61194,60077,58985,57918,56875,55856,54860,53886,52933,52002,51091,50200,49329
"U(2, 0, 2, 1)",126324,52118,50856,49633,48447,47296,46180,45096,44043,43019,42024,41057,40115,39199,38308
"U(2, 0, 2, 2)",126324,37351,35898,34523,33219,31979,30799,29674,28601,27576,26596,25659,24762,23903,23080
"U(2, 0, 3, 0)",126324,68202,67133,66092,65079,64092,63130,62193,61280,60389,59521,58674,57848,57042,56255
"U(2, 0, 3, 1)",126324,41420,40037,38714,37449,36236,35073,33957,32885,31854,30864,29911,28993,28110,27259
"U(2, 0, 3, 2)",126324,40273,38881,37557,36295,35092,33943,32845,31795,30791,29830,28909,28027,27181,26370
"U(2, 1, 0, 0)",126324,63753,62682,61603,60522,59441,58365,57295,56232,55180,54138,53107,52090,51085,50094
"U(2, 1, 0, 1)",126324,109190,108780,108322,107831,107319,106794,106259,105721,105180,104641,104103,103570,103040,102517
"U(2, 1, 0, 2)",126324,82677,81757,80832,79907,78981,78056,77133,76213,75298,74386,73480,72580,71686,70799
"U(2, 1, 1, 0)",126324,69213,68170,67121,66071,65022,63977,62938,61907,60884,59870,58866,57873,56891,55920
"U(2, 1, 1, 1)",126324,144934,144757,144549,144311,144046,143757,143445,143113,142762,142394,142011,141614,141203,140782
"U(2, 1, 1, 2)",126324,110622,109927,109230,108528,107824,107116,106405,105692,104976,104257,103536,102813,102088,101361
"U(2, 1, 2, 0)",126324,113411,112799,112152,111473,110765,110031,109275,108498,107703,106892,106066,105227,104378,103518
"U(2, 1, 2, 1)",126324,221001,221733,222335,222823,223209,223501,223710,223841,223901,223897,223832,223712,223540,223321
"U(2, 1, 2, 2)",126324,73362,72397,71435,70482,69541,68614,67702,66807,65928,65066,64222,63395,62584,61791
"U(2, 1, 3, 0)",126324,315635,317796,319899,321946,323940,325885,327781,329632,331439,333203,334927,336611,338257,339867
"U(2, 1, 3, 1)",126324,302807,304678,306437,308096,309662,311145,312550,313883,315149,316352,317495,318582,319616,320600
"U(2, 1, 3, 2)",126324,97314,96868,96316,95686,94996,94260,93488,92688,91868,91031,90183,89327,88466,87604
"U(2, 2, 0, 0)",126324,44250,42878,41567,40311,39107,37950,36838,35767,34735,33741,32782,31855,30961,30097
"U(2, 2, 0, 1)",126324,46169,44756,43443,42215,41062,39975,38947,37975,37051,36174,35339,34543,33784,33060
"U(2, 2, 0, 2)",126324,37156,35728,34369,33075,31841,30664,29542,28471,27448,26472,25538,24646,23793,22977
"U(2, 2, 1, 0)",126324,36308,34823,33426,32107,30861,29680,28559,27495,26482,25517,24598,23722,22885,22086
"U(2, 2, 1, 1)",126324,95392,94623,93867,93125,92396,91679,90975,90282,89601,88931,88272,87624,86985,86357
"U(2, 2, 1, 2)",126324,32318,30847,29451,28127,26870,25678,24546,23473,22454,21486,20568,19696,18869,18083
"U(2, 2, 2, 0)",126324,58411,57207,56048,54933,53857,52819,51816,50846,49908,49000,48120,47267,46441,45638
"U(2, 2, 2, 1)",126324,62506,61288,60154,59093,58097,57159,56274,55437,54643,53889,53173,52491,51840,51219
"U(2, 2, 2, 2)",126324,26998,25332,23797,22379,21066,19848,18717,17665,16686,15773,14922,14128,13386,12692
"U(2, 2, 3, 0)",126324,64905,63840,62831,61872,60961,60095,59270,58485,57737,57024,56344,55696,55078,54489
"U(2, 2, 3, 1)",126324,42941,41546,40243,39020,37870,36787,35766,34802,33890,33026,32209,31434,30700,30003
"U(2, 2, 3, 2)",126324,24481,22715,21114,19654,18316,17088,15957,14914,13950,13059,12233,11467,10756,10096
"Z(0, 1, 0, 1, 0, 0)",126324,76559,75620,74671,73714,72751,71785,70818,69850,68884,67922,66963,66010,65062,64122
"Z(0, 1, 0, 1, 0, 1)",126324,65144,64229,63252,62230,61173,60092,58993,57884,56769,55651,54534,53421,52314,51215
"Z(0, 1, 0, 1, 0, 2)",126324,76528,75538,74544,73549,72554,71560,70569,69582,68599,67622,66651,65687,64730,63781
"Z(0, 1, 0, 1, 1, 0)",126324,106056,105324,104564,103777,102968,102136,101286,100418,99534,98636,97725,96803,95870,94929
"Z(0, 1, 0, 1, 1, 1)",126324,59032,57794,56596,55434,54307,53211,52145,51108,50096,49110,48148,47208,46290,45392
"Z(0, 1, 0, 1, 1, 2)",126324,95739,94872,94008,93145,92284,91425,90567,89712,88858,88006,87156,86308,85462,84619
"Z(0, 1, 0, 1, 2, 0)",126324,106347,105612,104858,104086,103299,102497,101682,100856,100020,99176,98323,97463,96598,95727
"Z(0, 1, 0, 1, 2, 1)",126324,69684,68758,67784,66776,65744,64695,63635,62568,61499,60431,59365,58304,57251,56205
"Z(0, 1, 0, 1, 2, 2)",126324,118227,117708,117125,116486,115798,115067,114298,113495,112663,111804,110923,110021,109100,108165
"Z(0, 1, 0, 1, 3, 0)",126324,162966,162841,162669,162455,162202,161910,161583,161222,160830,160408,159957,159480,158978,158451
"Z(0, 1, 0, 1, 3, 1)",126324,94385,93626,92821,91979,91107,90211,89295,88363,87417,86462,85497,84527,83551,82573
"Z(0, 1, 0, 1, 3, 2)",126324,232836,233744,234472,235049,235495,235828,236059,236199,236255,236236,236147,235994,235782,235515
"Z(0, 1, 1, 0, 0, 0)",126324,480555,487597,494687,501827,509021,516270,523576,530940,538363,545846,553390,560994,568659,576384
"Z(0, 1, 1, 0, 0, 1)",126324,96896,96739,96530,96284,96015,95730,95438,95144,94853,94570,94296,94036,93791,93562
"Z(0, 1, 1, 0, 0, 2)",126324,94706,93913,93114,92311,91505,90698,89889,89081,88273,87467,86663,85862,85064,84270
"Z(0, 1, 1, 0, 1, 0)",126324,352514,357197,361910,366656,371436,376251,381103,385993,390923,395894,400906,405962,411062,416207
"Z(0, 1, 1, 0, 1, 1)",126324,73827,72970,72158,71390,70662,69972,69318,68698,68110,67554,67028,66530,66060,65617
"Z(0, 1, 1, 0, 1, 2)",126324,115150,114528,113904,113280,112653,112026,111397,110766,110135,109502,108867,108232,107595,106958
"Z(0, 1, 1, 0, 2, 0)",126324,237788,239733,241685,243646,245617,247600,249596,251606,253632,255674,257734,259813,261912,264032
"Z(0, 1, 1, 0, 2, 1)",126324,77570,76819,76023,75195,74346,73483,72611,71736,70861,69989,69123,68264,67415,66577
"Z(0, 1, 1, 0, 2, 2)",126324,140186,139909,139567,139167,138715,138217,137678,137101,136491,135850,135182,134489,133773,133036
"Z(0, 1, 1, 0, 3, 0)",126324,350089,353240,356370,359480,362574,365652,368716,371768,374810,377842,380866,383883,386896,389903
"Z(0, 1, 1, 0, 3, 1)",126324,107530,107026,106480,105899,105291,104663,104017,103358,102688,102011,101328,100642,99953,99264
"Z(0, 1, 1, 0, 3, 2)",126324,281550,283178,284626,285924,287091,288143,289093,289950,290722,291417,292039,292595,293090,293526
"Z(0, 1, 1, 1, 0, 0)",126324,132917,132462,131976,131461,130919,130351,129760,129147,128512,127859,127187,126499,125795,125076
"Z(0, 1, 1, 1, 0, 1)",126324,69423,68550,67615,66633,65618,64577,63519,62450,61374,60294,59215,58139,57068,56004
"Z(0, 1, 1, 1, 0, 2)",126324,102928,102210,101485,100754,100019,99281,98539,97796,97051,96305,95559,94814,94069,93326
"Z(0, 1, 1, 1, 1, 0)",126324,209112,209377,209593,209760,209881,209955,209986,209973,209917,209821,209684,209509,209295,209045
"Z(0, 1, 1, 1, 1, 1)",126324,65081,63916,62790,61701,60645,59620,58625,57657,56715,55797,54902,54029,53177,52345
"Z(0, 1, 1, 1, 1, 2)",126324,123732,123207,122678,122146,121610,121071,120528,119983,119433,118881,118325,117765,117203,116637
"Z(0, 1, 1, 1, 2, 0)",126324,215268,215735,216163,216552,216904,217219,217499,217744,217955,218132,218278,218391,218473,218525
"Z(0, 1, 1, 1, 2, 1)",126324,76644,75810,74929,74013,73073,72116,71148,70173,69195,68217,67241,66269,65304,64346
"Z(0, 1, 1, 1, 2, 2)",126324,149941,149759,149512,149206,148848,148442,147993,147504,146980,146423,145836,145222,144582,143919
"Z(0, 1, 1, 1, 3, 0)",126324,391313,394397,397428,400407,403335,406212,409039,411816,414545,417226,419858,422443,424981,427472
"Z(0, 1, 1, 1, 3, 1)",126324,110644,110159,109629,109065,108472,107855,107221,106571,105909,105237,104557,103872,103182,102490
