,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",122542,328998,333391,337682,341869,345990,349931,353781,357496,361080,364503,367814,370938,373886,376688
"U(1, 1, 1, 2)",122542,49052,47730,46483,45307,44200,43145,42149,41203,40304,39445,38629,37845,37092,36371
"U(1, 1, 2, 0)",122542,204593,199207,194107,189275,184716,180353,176218,172274,168512,164905,161464,158146,154949,151875
"U(1, 1, 2, 1)",122542,351515,363862,375676,386972,397820,408117,417992,427423,436439,445028,453269,461090,468521,475612
"U(1, 1, 2, 2)",122542,107153,104446,101887,99467,97188,95009,92948,90986,89116,87326,85621,83978,82396,80877
"U(1, 1, 3, 0)",122542,334006,340675,346884,350372,353707,356788,359718,362464,365041,367427,369676,371722,370707,366704
"U(1, 1, 3, 1)",122542,373180,390241,407317,424392,441505,458506,475505,492444,509327,526112,542864,559475,575955,592344
"U(1, 1, 3, 2)",122542,324285,328101,331561,334686,337538,340029,342269,344238,345959,347423,348125,348623,348945,349130
"U(1, 2, 0, 0)",122542,14621,14125,13658,13219,12806,12414,12044,11694,11362,11046,10746,10459,10185,9923
"U(1, 2, 0, 1)",122542,41292,40198,39165,38188,37269,36391,35560,34770,34018,33298,32613,31954,31319,30711
"U(1, 2, 0, 2)",122542,11263,10986,10724,10477,10244,10021,9811,9610,9419,9236,9061,8893,8731,8575
"U(1, 2, 1, 0)",122542,33513,32303,31159,30079,29060,28090,27171,26298,25467,24674,23919,23194,22500,21835
"U(1, 2, 1, 1)",122542,101539,98790,96186,93718,91388,89157,87041,85023,83095,81246,79480,77776,76133,74552
"U(1, 2, 1, 2)",122542,9741,9436,9149,8878,8624,8382,8154,7937,7731,7535,7348,7169,6998,6834
"U(1, 2, 2, 0)",122542,65795,63490,61310,59246,57297,55437,53674,51994,50393,48862,47401,45997,44649,43355
"U(1, 2, 2, 1)",122542,170963,166878,163009,159343,155886,152574,149435,146440,143581,140836,138217,135686,133243,130891
"U(1, 2, 2, 2)",122542,15689,15092,14530,14000,13503,13031,12585,12163,11762,11381,11019,10674,10343,10028
"U(1, 2, 3, 0)",122542,157506,153080,148879,144891,141117,137497,134057,130767,127620,124595,121700,118903,116200,113595
"U(1, 2, 3, 1)",122542,303678,302619,300305,296303,292169,287550,283197,279060,275125,271359,267782,264330,261000,257804
"U(1, 2, 3, 2)",122542,30237,29302,28423,27595,26818,26080,25384,24725,24100,23506,22942,22403,21887,21394
"U(2, 0, 0, 0)",122542,117448,115397,113473,111668,109988,108390,106895,105484,104152,102886,101693,100550,99455,98411
"U(2, 0, 0, 1)",122542,150150,147338,144695,142212,139894,137688,135619,133663,131814,130055,128394,126802,125276,123821
"U(2, 0, 0, 2)",122542,179102,174977,171067,167360,163862,160506,157324,154284,151380,148588,145921,143342,140848,138444
"U(2, 0, 1, 0)",122542,30453,29648,28891,28180,27515,26885,26292,25733,25204,24702,24228,23776,23344,22933
"U(2, 0, 1, 1)",122542,64611,63034,61546,60141,58821,57562,56374,55245,54173,53148,52175,51241,50342,49482
"U(2, 0, 1, 2)",122542,71744,69628,67623,65722,63924,62203,60570,59010,57520,56090,54724,53406,52135,50912
"U(2, 0, 2, 0)",122542,8164,7889,7632,7391,7165,6952,6753,6565,6387,6219,6061,5911,5768,5633
"U(2, 0, 2, 1)",122542,12982,12533,12109,11711,11336,10979,10643,10324,10022,9733,9460,9198,8948,8708
"U(2, 0, 2, 2)",122542,11823,11331,10868,10431,10020,9630,9262,8913,8581,8265,7966,7679,7406,7144
"U(2, 0, 3, 0)",122542,18710,18175,17671,17196,16749,16323,15921,15540,15178,14833,14505,14190,13888,13600
"U(2, 0, 3, 1)",122542,21866,21247,20664,20114,19598,19106,18641,18201,17782,17383,17003,16639,16290,15956
"U(2, 0, 3, 2)",122542,10455,10074,9715,9377,9059,8757,8472,8201,7944,7699,7467,7244,7031,6827
"U(2, 1, 0, 0)",122542,41527,40248,39039,37896,36819,35791,34819,33894,33013,32172,31370,30600,29860,29151
"U(2, 1, 0, 1)",122542,189108,184763,180653,176764,173101,169595,166278,163117,160105,157217,154465,151812,149252,146793
"U(2, 1, 0, 2)",122542,16535,16132,15750,15389,15050,14724,14417,14123,13844,13576,13320,13074,12836,12607
"U(2, 1, 1, 0)",122542,69131,66957,64899,62948,61106,59346,57675,56083,54564,53108,51718,50381,49094,47857
"U(2, 1, 1, 1)",122542,293074,287836,282780,277402,272336,267474,262870,258476,254279,250246,246398,242673,239069,235595
"U(2, 1, 1, 2)",122542,13414,13064,12733,12420,12124,11842,11574,11319,11076,10843,10621,10407,10201,10002
"U(2, 1, 2, 0)",122542,40452,39203,38020,36898,35837,34822,33858,32939,32060,31218,30413,29637,28889,28170
"U(2, 1, 2, 1)",122542,120934,118512,116220,114051,112009,110052,108200,106434,104749,103130,101587,100094,98650,97259
"U(2, 1, 2, 2)",122542,4098,3962,3833,3712,3598,3490,3389,3292,3200,3113,3030,2951,2875,2803
