,Initial,Month 0,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
"U(1, 1, 1, 1)",221677,830106,837751,845304,852760,860118,867375,874532,881586,888538,895388,902137,908784,915331,921779
"U(1, 1, 1, 2)",221677,295938,295883,295759,295570,295318,295006,294636,294211,293733,293205,292628,292005,291338,290629
"U(1, 1, 2, 0)",221677,865703,876008,886289,896542,906764,916952,927107,937230,947320,957380,967410,977414,987393,997348
"U(1, 1, 2, 1)",221677,1115664,1126546,1137257,1147774,1158087,1168190,1178081,1187759,1197228,1206490,1215548,1224408,1233073,1241548
"U(1, 1, 2, 2)",221677,630976,634734,638294,641651,644805,647758,650516,653083,655465,657667,659697,661560,663260,664805
"U(1, 1, 3, 0)",221677,1343587,1359743,1375844,1391875,1407828,1423697,1439478,1455169,1470769,1486279,1501698,1517028,1532271,1547428
"U(1, 1, 3, 1)",221677,2405285,2439955,2474670,2509406,2544150,2578891,2613619,2648329,2683014,2717671,2752296,2786886,2821437,2855947
"U(1, 1, 3, 2)",221677,1378859,1396131,1413318,1430418,1447431,1464357,1481196,1497949,1514617,1531199,1547697,1564111,1580441,1596688
"U(1, 2, 0, 0)",221677,171309,170508,169701,168896,168098,167313,166543,165794,165066,164362,163683,163031,162406,161810
"U(1, 2, 0, 1)",221677,117083,115305,113538,111797,110088,108418,106787,105198,103652,102147,100684,99263,97882,96541
"U(1, 2, 0, 2)",221677,68128,65562,63121,60796,58580,56468,54453,52529,50693,48938,47262,45659,44125,42658
"U(1, 2, 1, 0)",221677,232542,232644,232555,232310,231935,231452,230878,230228,229514,228747,227936,227089,226213,225314
"U(1, 2, 1, 1)",221677,252937,252870,252742,252564,252341,252082,251792,251475,251136,250778,250404,250018,249620,249215
"U(1, 2, 1, 2)",221677,127163,125318,123518,121762,120048,118375,116742,115147,113590,112068,110582,109130,107711,106323
"U(1, 2, 2, 0)",221677,151425,149974,148527,147089,145665,144257,142866,141495,140145,138815,137506,136219,134953,133709
"U(1, 2, 2, 1)",221677,194452,193772,192944,192000,190963,189854,188685,187468,186213,184927,183617,182289,180946,179594
"U(1, 2, 2, 2)",221677,112414,110623,108800,106964,105128,103299,101484,99689,97915,96167,94445,92752,91089,89456
"U(1, 2, 3, 0)",221677,280351,280871,281280,281599,281845,282029,282163,282254,282311,282338,282342,282325,282294,282250
"U(1, 2, 3, 1)",221677,211297,210917,210514,210103,209691,209283,208885,208498,208125,207767,207426,207103,206798,206511
"U(1, 2, 3, 2)",221677,207634,207270,206994,206801,206686,206644,206670,206762,206914,207124,207390,207707,208073,208487
"U(2, 0, 0, 0)",221677,271398,272325,273319,274378,275501,276687,277934,279242,280609,282033,283512,285044,286629,288264
"U(2, 0, 0, 1)",221677,107153,105132,103189,101318,99514,97775,96097,94476,92910,91397,89934,88519,87150,85826
"U(2, 0, 0, 2)",221677,185998,184726,183450,182169,180884,179595,178304,177011,175717,174421,173125,171829,170532,169237
"U(2, 0, 1, 0)",221677,74659,72190,69885,67727,65702,63799,62007,60320,58729,57228,55811,54473,53209,52016
